"","min_2","max_other","target_score"
"PDCD1","2.58","4.83","-2.25"
"CTLA4","4.53","4.35","0.180000000000001"
"---","","",""
"TNFRSF9","4.22","3.16","1.06"
"GCNT1","2.54","1.82","0.72"
"PHLDA1","4.61","3.94","0.67"
"HERC6","2.71","2.04","0.67"
"SAMD9","4.58","3.96","0.62"
"PPM1G","4.45","3.86","0.59"
"HERC5","4.39","3.8","0.59"
"TIGIT","6.13","5.57","0.56"
"DNPH1","4.34","3.81","0.53"
"SH2D2A","4.7","4.2","0.5"
"LAYN","3.48","2.98","0.5"
"TMEM140","2.93","2.44","0.49"
"NAB1","2.45","1.97","0.48"
"BTG3","4.24","3.79","0.45"
"ARPP19","4.16","3.73","0.43"
"TSPAN5","3.39","2.98","0.41"
"CACYBP","5.17","4.77","0.4"
"GALM","4.49","4.1","0.390000000000001"
