"","min_2","max_other","target_score"
"PDCD1","3.41","4.89","-1.48"
"CTLA4","6.28","6.39","-0.109999999999999"
"---","","",""
"IPP","1.97","1.32","0.65"
"NABP2","2.9","2.28","0.62"
"TLE6","0.8","0.23","0.57"
"POLG","3.04","2.51","0.53"
"PNKP","2.87","2.34","0.53"
"LAYN","3.97","3.45","0.52"
"UBASH3A","2.84","2.33","0.51"
"TNFRSF9","3.78","3.28","0.5"
"CORO6","1.22","0.81","0.41"
"TIGIT","5.71","5.31","0.4"
"ABAT","1.23","0.86","0.37"
"NFU1","3.46","3.11","0.35"
"MX1","5.26","4.92","0.34"
"SURF4","5.47","5.14","0.33"
"ELOF1","3.99","3.68","0.31"
"NCR1","1.1","0.81","0.29"
"VPS18","1.8","1.51","0.29"
"CXCR6","7.31","7.03","0.279999999999999"
"ELK1","1.6","1.33","0.27"
