"","min_2","max_other","target_score"
"PDCD1","3.07","3.65","-0.58"
"CTLA4","3.89","4.8","-0.91"
"---","","",""
"PTTG1","3.01","2.37","0.64"
"TSPAN5","2.72","2.22","0.5"
"ABCC10","2.74","2.27","0.47"
"LRBA","3.64","3.17","0.47"
"TPX2","1.6","1.19","0.41"
"FAM219A","1.75","1.42","0.33"
"TMEM17","0.66","0.33","0.33"
"POLA1","1.24","0.92","0.32"
"TAP1","5.52","5.21","0.31"
"FAM83D","0.92","0.62","0.3"
"HLA-A","9.73","9.44","0.290000000000001"
"KLHL7","2.24","1.95","0.29"
"CD27","5.55","5.27","0.28"
"HMGB2","5.36","5.09","0.27"
