"","min_2","max_other","target_score"
"PDCD1","5.07","5.93","-0.859999999999999"
"CTLA4","4.47","4.65","-0.180000000000001"
"---","","",""
"TNIP3","2.92","1.97","0.95"
"ZBED2","4.01","3.07","0.94"
"GALM","4.55","3.7","0.85"
"TNFRSF9","3.47","2.77","0.7"
"CSF1","3.17","2.52","0.65"
"NDFIP2","2.68","2.07","0.61"
"TRIM69","2.21","1.7","0.51"
"NEIL3","0.91","0.42","0.49"
"ARL6IP1","5.54","5.07","0.47"
"CD27","6.21","5.76","0.45"
"PCED1B","3.81","3.37","0.44"
"TNFRSF1B","5.37","4.95","0.42"
"RBPJ","3.76","3.35","0.41"
"TP73","0.77","0.38","0.39"
"PTPN7","5.08","4.71","0.37"
"GBP2","5.72","5.41","0.31"
"SIRPG","5.87","5.57","0.3"
"MTHFD1","3.14","2.85","0.29"
"IGFLR1","5.03","4.75","0.28"
