"","min_2","max_other","target_score"
"PDCD1","2.84","3.39","-0.55"
"CTLA4","5.53","3.95","1.58"
"---","","",""
"CXCL13","5.64","3.29","2.35"
"GNG4","2.58","0.94","1.64"
"CTLA41","5.53","3.95","1.58"
"ZBED2","2.69","1.38","1.31"
"LAYN","4.08","2.89","1.19"
"IKZF4","3.07","1.94","1.13"
"TIGIT","5.99","4.86","1.13"
"GEM","4.87","3.86","1.01"
"CXCR6","5.1","4.09","1.01"
"PHEX","1.54","0.67","0.87"
"MYO7A","2.8","1.98","0.82"
"RDH10","3.26","2.44","0.82"
"DNPH1","3.89","3.14","0.75"
"ZNF282","3.42","2.67","0.75"
"NEBL","1.56","0.82","0.74"
"GCNT1","2.49","1.85","0.64"
"SNAP47","2.16","1.62","0.54"
"LAIR2","1.61","1.1","0.51"
"PRDM1","5.29","4.79","0.5"
