"","min_2","max_other","target_score"
"PDCD1","2.57","4.09","-1.52"
"CTLA4","3.79","3.86","-0.0699999999999998"
"---","","",""
"LAYN","2.69","1.08","1.61"
"TNFRSF9","4.97","3.64","1.33"
"UBASH3B","2.85","1.85","1"
"PHLDA1","4.78","3.93","0.85"
"SIRPG","4.44","3.66","0.78"
"TNFRSF1B","5.18","4.57","0.609999999999999"
"MAP1LC3A","2.42","1.88","0.54"
"CDKN2A","2.84","2.32","0.52"
"TRIM69","3.13","2.63","0.5"
"PGAM1","5.04","4.55","0.49"
"GBP5","4.5","4.02","0.48"
"PARK7","5.79","5.35","0.44"
"AKAP5","3.09","2.67","0.42"
"CCND2","4.48","4.09","0.390000000000001"
"PRKAR1B","1.73","1.34","0.39"
"PCED1B","3.09","2.7","0.39"
"BARD1","2.12","1.74","0.38"
