"","min_2","max_other","target_score"
"PDCD1","4.71","6.6","-1.89"
"CTLA4","5.12","6.26","-1.14"
"---","","",""
"TNFRSF9","3.76","2.98","0.78"
"JAKMIP1","2.93","2.26","0.67"
"TNIP3","2.88","2.28","0.6"
"CXCR6","6.76","6.23","0.529999999999999"
"SALL4","0.44","0.15","0.29"
"WNT6","0.31","0.02","0.29"
"FNDC7","0.33","0.11","0.22"
"PTTG2","0.26","0.04","0.22"
"TNS4","0.39","0.19","0.2"
"SLC27A2","1.85","1.66","0.19"
"GCNT1","1.43","1.28","0.15"
"PGPEP1L","0.18","0.05","0.13"
"TIGD4","0.27","0.15","0.12"
"SP6","0.19","0.07","0.12"
"SLC25A44","2.02","1.91","0.11"
"EFCAB6","0.15","0.04","0.11"
"HLA-E","8.82","8.73","0.0899999999999999"
"LCE3E","0.07","0","0.07"
"CHAT","0.1","0.03","0.07"
