"","min_2","max_other","target_score"
"PDCD1","2.54","3.94","-1.4"
"CTLA4","2.54","3.56","-1.02"
"---","","",""
"ACTA2","2.4","1.58","0.82"
"ARHGEF12","2.28","1.49","0.79"
"PTTG1","4.51","3.85","0.66"
"SIRPG","4.16","3.53","0.63"
"TNFRSF9","4.3","3.7","0.6"
"GCNT1","1.71","1.21","0.5"
"SGMS1","2.14","1.68","0.46"
"CD70","3.12","2.67","0.45"
"AKAP5","2.3","1.86","0.44"
"CALM3","5.24","4.81","0.430000000000001"
"PRKAR1B","1.41","0.98","0.43"
"CXCR6","4.63","4.2","0.43"
"ZBED2","1.17","0.79","0.38"
