"","min_2","max_other","target_score"
"PDCD1","3.8","4.75","-0.95"
"CTLA4","5.31","5.9","-0.590000000000001"
"---","","",""
"TNFRSF9","5.22","4.12","1.1"
"IKZF4","1.76","1.27","0.49"
"DUSP4","4.5","4.19","0.31"
"SIRPG","5.11","4.81","0.300000000000001"
"TRAF2","2.47","2.18","0.29"
"ENTPD1","4.32","4.03","0.29"
"PIN1","4.15","3.88","0.27"
"ZBED6CL","0.81","0.58","0.23"
"AMIGO2","1.43","1.21","0.22"
"JAKMIP1","2.7","2.51","0.19"
"ATP6V0E2","3.77","3.6","0.17"
"FDXR","1.68","1.51","0.17"
"THYN1","3.88","3.73","0.15"
"TP73","0.37","0.24","0.13"
