"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"1","A1BG",11823,8912,11659,12920,2548,9179,7594,15158,10485,4293,9457.1
"2","A1CF",NA,481,NA,3003,5628,2382,7738,9136,NA,1058,4203.71428571429
"3","A2M",16645,17072,13410,18085,15531,18159,15655,18083,11566,14046,15825.2
"4","A2ML1",2304,1639,NA,4210,4084,2661,NA,4651,NA,1945,3070.57142857143
"5","A3GALT2",NA,NA,NA,NA,NA,219,NA,227,NA,NA,223
"6","A4GALT",15615,13752,4602,17142,3699,16448,8872,6266,1556,9561,9751.3
"7","A4GNT",1102,959,NA,4465,NA,1111,334,6638,NA,NA,2434.83333333333
"8","AAAS",4290,10590,6983,9401,10962,10571,11219,8982,4908,4146,8205.2
"9","AACS",5705,13375,11708,14800,10124,3266,7494,9814,7563,7198,9104.7
"10","AADAC",1103,4087,418,9075,652,4097,13204,16076,NA,134,5427.33333333333
"11","AADACL2",NA,NA,NA,1165,NA,5438,NA,7406,NA,NA,4669.66666666667
"12","AADACL3",NA,NA,NA,9569,NA,9382,NA,982,NA,NA,6644.33333333333
"13","AADACL4",303,177,NA,2953,NA,1216,NA,532,NA,NA,1036.2
"14","AADAT",7921,3228,1147,2482,NA,5917,941,1618,NA,1960,3151.75
"15","AAED1",13306,12938,11234,16724,14235,12527,10775,18021,5483,9160,12440.3
"16","AAGAB",4957,8876,8816,3600,8158,2264,2679,10337,7066,7770,6452.3
"17","AAK1",11564,5679,4568,14576,5417,4526,11425,4501,5935,5905,7409.6
"18","AAMDC",14679,15797,5724,16416,10631,14686,13634,7621,6663,11691,11754.2
"19","AAMP",10451,13694,3552,3049,5418,8598,4271,5154,1382,3114,5868.3
"20","AANAT",1179,5331,NA,2722,2674,4551,4394,12636,NA,NA,4783.85714285714
"21","AAR2",9257,5104,7531,14740,6424,6034,3987,15601,2078,6782,7753.8
"22","AARD",7399,3887,12818,7601,1573,10659,5858,3773,NA,NA,6696
"23","AARS",12416,14444,8539,6808,14058,4193,13121,14871,10690,7269,10640.9
"24","AARS2",4350,15091,6044,12877,NA,12033,10454,4667,1432,2424,7708
"25","AARSD1",9729,7861,8375,13173,7128,6837,12886,10143,8698,7810,9264
"26","AASDH",6585,11223,8793,14047,7578,5666,12796,6006,4271,11219,8818.4
"27","AASDHPPT",6138,12460,165,12250,8633,11081,2758,3494,5457,4395,6683.1
"28","AASS",14425,14049,4365,15528,NA,15345,11681,13540,2840,9972,11305
"29","AATF",5759,8199,2331,7806,11536,1207,437,5025,3222,2490,4801.2
"30","AATK",10164,2495,12824,3031,7173,15678,6407,1477,5011,4755,6901.5
"31","AATK.AS1",NA,1435,NA,NA,NA,NA,NA,NA,NA,NA,1435
"32","ABAT",7631,14,8794,6671,NA,5300,3056,4154,1672,4386,4630.88888888889
"33","ABCA1",15596,15411,13216,17191,14989,17430,14939,17390,11670,13429,15126.1
"34","ABCA10",3851,1871,6614,4667,7338,12857,4255,3474,NA,5964,5654.55555555556
"35","ABCA12",8712,1421,NA,1051,3221,2889,NA,7543,NA,NA,4139.5
"36","ABCA13",290,5401,NA,2099,NA,7257,NA,1909,NA,517,2912.16666666667
"37","ABCA2",12471,5575,11113,14876,11082,5183,11022,13113,9999,5224,9965.8
"38","ABCA3",10975,7152,4197,8385,6027,14248,6739,3878,1326,1251,6417.8
"39","ABCA4",2993,8862,NA,10166,1325,3336,661,2653,NA,NA,4285.14285714286
"40","ABCA5",14849,11506,4962,13740,7423,8264,12901,13572,8174,6301,10169.2
"41","ABCA6",12462,10475,6195,15990,12701,15198,10809,10624,2099,11853,10840.6
"42","ABCA7",13765,14449,10730,5809,8634,10488,11845,7662,10826,11622,10583
"43","ABCA8",2088,2110,8179,1790,747,10741,1526,17213,NA,3041,5270.55555555556
"44","ABCA9",1041,4749,4603,10120,NA,12818,1391,2219,NA,5001,5242.75
"45","ABCB1",14370,16349,12490,17222,14299,16933,15472,17310,11750,13352,14954.7
"46","ABCB10",3324,11251,5786,8726,NA,15199,6780,12450,11039,6189,8971.55555555555
"47","ABCB11",2257,978,NA,7501,2075,4552,1598,7999,NA,NA,3851.42857142857
"48","ABCB4",13475,4690,11436,16836,14690,15098,15342,13241,9438,13735,12798.1
"49","ABCB5",2148,3159,2271,11086,3797,13444,1895,8232,NA,441,5163.66666666667
"50","ABCB6",1656,12606,NA,12348,NA,4223,1299,3981,NA,4511,5803.42857142857
"51","ABCB7",4508,13983,8302,9492,NA,10455,1965,15662,6139,9539,8893.88888888889
"52","ABCB8",10944,5213,3800,7793,NA,11379,12013,8016,9395,9508,8673.44444444445
"53","ABCB9",5885,13484,6412,12969,NA,5083,14738,7361,11895,10138,9773.88888888889
"54","ABCC1",9596,9715,11099,9194,9143,17633,7807,9971,2647,7521,9432.6
"55","ABCC10",11052,8307,3,14193,6153,914,5789,15482,1458,10229,7358
"56","ABCC11",622,2117,3272,2376,4085,8922,3929,7276,NA,1625,3802.66666666667
"57","ABCC12",621,2445,NA,1245,NA,5301,NA,830,NA,NA,2088.4
"58","ABCC2",2898,2793,NA,5531,5120,5163,3339,9545,2084,3220,4410.33333333333
"59","ABCC3",14481,13801,12737,15579,13978,13587,12020,9206,10197,13711,12929.7
"60","ABCC4",14351,16062,12212,7152,12559,16570,14478,11667,10653,12080,12778.4
"61","ABCC5",5641,5608,7300,6674,11215,14570,6507,15668,6679,8287,8814.9
"62","ABCC6",3529,7144,2899,2718,7619,15703,8453,3714,559,2328,5466.6
"63","ABCC8",5430,284,531,2047,4488,13367,1764,1636,NA,3383,3658.88888888889
"64","ABCC9",2648,11233,2492,16351,4484,14554,4979,1870,NA,1320,6659
"65","ABCD1",12527,6323,8596,7018,NA,11675,8312,13705,9639,3050,8982.77777777778
"66","ABCD2",7016,14054,7112,6341,NA,14736,6818,17609,8755,11502,10438.1111111111
"67","ABCD3",10465,16757,9673,7472,NA,11232,9400,14914,9922,10632,11163
"68","ABCD4",10671,13660,4904,15762,13283,11157,6612,3968,154,10916,9108.7
"69","ABCE1",3451,3593,387,10886,8257,11158,6331,3850,1385,4886,5418.4
"70","ABCF1",1202,9647,2401,10272,4654,6467,5145,7852,149,2443,5023.2
"71","ABCF2",8888,7331,5088,8773,NA,8923,2911,12957,4138,2816,6869.44444444444
"72","ABCF3",7205,6078,2421,7062,13733,6202,3256,11768,1455,6894,6607.4
"73","ABCG1",9938,11122,6833,10940,12362,13126,269,13231,8646,5754,9222.1
"74","ABCG2",13728,13968,8623,16253,6425,15195,10656,12503,1424,3185,10196
"75","ABCG4",1303,536,NA,11491,2286,5545,391,631,NA,NA,3169
"76","ABCG5",NA,1628,NA,538,1574,5781,2564,7402,NA,598,2869.28571428571
"77","ABCG8",NA,1219,NA,3725,NA,1700,2202,1962,NA,150,1826.33333333333
"78","ABHD1",6697,3392,3042,14313,2412,8599,4468,13012,4250,8910,6909.5
"79","ABHD10",6277,4713,6255,13674,NA,12693,5392,13389,3067,12295,8639.44444444445
"80","ABHD11",12637,13649,9915,5224,NA,8084,9181,13052,3825,10027,9510.44444444445
"81","ABHD12",13967,16024,10881,13018,14126,15979,13630,11843,6107,10033,12560.8
"82","ABHD12B",NA,1775,NA,3918,2204,12106,1372,9694,NA,8888,5708.14285714286
"83","ABHD13",7643,13135,6758,14908,7421,5173,2185,13272,3877,4577,7894.9
