"","gene","target_score.x","target_score.y","target_score.x.1","target_score.y.1","target_score.x.2","target_score.y.2","target_score.x.3","target_score.y.3","target_score.x.4","target_score.y.4","score_avg"
"1","A1BG",-1.23,-1.07,-2.27,-1.09,-0.2,-0.85,-0.56,-2.39,-1.68,-0.88,-1.222
"2","A1CF",NA,0,NA,-0.19,-0.5,-0.23,-0.58,-1.19,NA,-0.3,-0.427142857142857
"3","A2M",-7.24,-7.72,-6.4,-7.44,-5.79,-7.48,-3.52,-5.09,-2.75,-6.85,-6.028
"4","A2ML1",-0.13,-0.03,NA,-0.3,-0.35,-0.26,NA,-0.57,NA,-0.5,-0.305714285714286
"5","A3GALT2",NA,NA,NA,NA,NA,-0.01,NA,-0.01,NA,NA,-0.01
"6","A4GALT",-3.1,-2.03,-0.82,-2.56,-0.31,-2.73,-0.68,-0.8,-0.17,-1.73,-1.493
"7","A4GNT",-0.04,-0.01,NA,-0.32,NA,-0.13,0,-0.86,NA,NA,-0.226666666666667
"8","AAAS",-0.3,-1.33,-1.13,-0.74,-1.21,-1,-0.96,-1.17,-0.56,-0.85,-0.925
"9","AACS",-0.43,-1.91,-2.3,-1.39,-1.06,-0.31,-0.56,-1.29,-0.89,-1.29,-1.143
"10","AADAC",-0.04,-0.35,-0.13,-0.71,-0.05,-0.39,-1.38,-2.74,NA,-0.03,-0.646666666666667
"11","AADACL2",NA,NA,NA,-0.06,NA,-0.51,NA,-0.96,NA,NA,-0.51
"12","AADACL3",NA,NA,NA,-0.75,NA,-0.87,NA,-0.05,NA,NA,-0.556666666666667
"13","AADACL4",0,0,NA,-0.19,NA,-0.14,NA,-0.02,NA,NA,-0.07
"14","AADAT",-0.66,-0.21,-0.32,-0.15,NA,-0.55,-0.03,-0.11,NA,-0.5,-0.31625
"15","AAED1",-1.61,-1.8,-2.06,-2.13,-2.47,-1.26,-0.9,-4.87,-0.63,-1.64,-1.937
"16","AAGAB",-0.36,-1.06,-1.42,-0.24,-0.78,-0.23,-0.16,-1.37,-0.82,-1.39,-0.783
"17","AAK1",-1.18,-0.6,-0.819999999999999,-1.35,-0.48,-0.420000000000001,-0.99,-0.55,-0.68,-1.11,-0.818
"18","AAMDC",-2.24,-3.03,-0.96,-1.94,-1.15,-1.76,-1.51,-0.99,-0.76,-2.37,-1.671
"19","AAMP",-0.99,-2.01,-0.69,-0.2,-0.48,-0.79,-0.29,-0.65,-0.15,-0.7,-0.695
"20","AANAT",-0.04,-0.54,NA,-0.17,-0.21,-0.43,-0.3,-1.75,NA,NA,-0.491428571428571
"21","AAR2",-0.81,-0.51,-1.21,-1.38,-0.58,-0.56,-0.27,-2.53,-0.24,-1.23,-0.932
"22","AARD",-0.6,-0.31,-3.4,-0.59,-0.12,-1.01,-0.42,-0.44,NA,NA,-0.86125
"23","AARS",-1.37,-2.28,-1.37,-0.52,-2.33,-0.4,-1.35,-2.3,-1.79,-1.31,-1.502
"24","AARS2",-0.31,-2.58,-1,-1.08,NA,-1.19,-0.86,-0.57,-0.15,-0.59,-0.925555555555556
"25","AARSD1",-0.87,-0.92,-1.34,-1.12,-0.66,-0.63,-1.28,-1.34,-1.09,-1.39,-1.064
"26","AASDH",-0.52,-1.44,-1.41,-1.26,-0.7,-0.53,-1.26,-0.77,-0.49,-2.2,-1.058
"27","AASDHPPT",-0.47,-1.69,-0.0300000000000002,-1.01,-0.84,-1.06,-0.16,-0.4,-0.62,-0.89,-0.717
"28","AASS",-2.08,-2.12,-0.79,-1.56,NA,-2.01,-1.04,-1.95,-0.33,-1.83,-1.52333333333333
"29","AATF",-0.44,-0.97,-0.52,-0.6,-1.33,-0.14,0,-0.62,-0.37,-0.6,-0.559
"30","AATK",-0.94,-0.11,-3.41,-0.19,-0.66,-2.17,-0.46,-0.09,-0.57,-0.94,-0.954
"31","AATK.AS1",NA,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,-0.02
"32","ABAT",-0.62,0.37,-1.41,-0.51,NA,-0.5,-0.19,-0.49,-0.19,-0.89,-0.492222222222222
