"parent","name"
"B cell","B cell exhausted"
"B cell","B cell naive"
"B cell","B cell non-switched memory"
"B cell","B cell switched memory"
"cDC","cDC1 CLEC9A"
"cDC","cDC2 CD1C"
"cDC","cDC3 LAMP3"
"Macrophage","Macrophage M1"
"Macrophage","Macrophage M2"
"T CD4","T CD4 naive"
"T CD8","T CD8 central memory"
"T CD8","T CD8 effector"
"T CD8","T CD8 effector memory"
"T CD8","T CD8 exhausted"
"T CD4","Tfh"
"T CD4","Th1"
"T CD4","Th17"
"T CD4","Th2"
"T CD4","Treg"
"T cell","T CD4"
"T cell","T CD8"
"Myeloid Progenitor","Mast"
"undecided","Endothelial"
"Monocyte","Macrophage"
"undecided","Malignant"
"B cell","Plasma"
"undecided","CAF"
"Lymphoid Progenitor","B cell"
"Monocyte","cDC"
"Lymphoid Progenitor","NK"
"undecided","pDC"
"Lymphoid Progenitor","T cell"
"Stem Cell","Myeloid Progenitor"
"Myeloblast","Monocyte"
"Stem Cell","Lymphoid Progenitor"
"Myeloid Progenitor","Myeloblast"
"Root","undecided"
"Root","Stem Cell"
NA,"Root"
"Myeloblast","Neutrophil"
"T CD8","T CD8 naive"
