"","min_2","max_other","macro_score","micro_T8","micro_T4","micro_Myeloid"
"SAMD11",0.0451185403692778,1.7,-1.65488145963072,0.03,0.12,0.1
"NOC2L",1.67852977161501,2.74,-1.06147022838499,0.22,0.55,2.07
"KLHL17",0.169677814029364,0.85,-0.680322185970636,0.25,0.48,0.25
"PLEKHN1",0.197744698205546,0.43,-0.232255301794454,0.45,1.26,0.32
"PERM1",0,0.09,-0.09,0,0,0.01
"HES4",0.339635092319458,1.47,-1.13036490768054,0.38,0.44,0.96
"ISG15",6.46740576860046,5.60028253192067,0.867123236679785,2.38,2.67,4.34
"AGRN",1.0522517207473,3.05,-1.9977482792527,0.79,1.31,1.37
"RNF223",0.0103833605220228,0.08,-0.0696166394779772,0.06,0.1,0.02
"C1orf159",0.399274061990212,0.73,-0.330725938009788,0.58,0.49,1.46
"TTLL10",0.0597290505845078,0.45,-0.390270949415492,0.47,0.13,0.66
"TNFRSF18",1.40882137030995,3.12,-1.71117862969005,1.94,5.44,2.7
"TNFRSF4",0.975234502446982,4.03,-3.05476549755302,0.68,6.99,3.26
"SDF4",2.84902120717781,3.73,-0.880978792822186,0.73,1.53,3.13
"B3GALT6",0.393886703812957,1.26,-0.866113296187043,0.25,0.61,0.85
"UBE2J2",2.07374388254486,3.11,-1.03625611745514,0.0899999999999999,0.95,3.04
"SCNN1D",0.0825980552824211,0.7,-0.617401944717579,0.14,0.22,0.25
"ACAP3",0.750566884176183,1.29,-0.539433115823817,0.47,1.08,1.08
"PUSL1",0.998329934747145,1.49,-0.491670065252855,0.34,1.56,1.03
"CPTP",0.917954730831974,1.8,-0.882045269168026,0.21,2.76,0.69
"TAS1R3",0.0237075275865836,0.672936701983157,-0.649229174396573,0.07,0.08,0.36
"DVL1",0.463207691467278,1.39,-0.926792308532721,0.42,0.7,1.1
"MXRA8",0.491160277324633,5.41,-4.91883972267537,1.09,0.78,1.27
"AURKAIP1",4.29991150442478,4.58,-0.280088495575221,0.31,0.73,1.82
"CCNL2",1.66854812398042,3.4,-1.73145187601958,0.13,0.47,1.96
"MRPL20",4.06036908646003,4.56,-0.499630913539967,0.12,1.86,1.93
"ANKRD65",0.12763247022834,1.36,-1.23236752977166,0.39,0.27,2.26
"TMEM88B",0,0,0,0,0,0
"VWA1",0.346892275756583,3.8,-3.45310772424342,0.55,0.58,0.63
"ATAD3C",0.0208544045676998,0.612151589242054,-0.591297184674354,0.24,0.31,0.07
"ATAD3B",0.752793637846656,1.37100244498778,-0.618208807141119,0.33,1.43,1.13
"ATAD3A",0.866572185970636,1.49,-0.623427814029364,0.67,0.79,1.04
"TMEM240",0.00428220255653884,0.12,-0.115717797443461,0.01,0,0.02
"SSU72",3.23902120717781,4.09,-0.850978792822186,0.54,0.55,1.25
"MIB2",0.734859298531811,3.16,-2.42514070146819,0.35,0.7,1.32
"MMP23B",0,0.84,-0.84,0.04,0.09,0
"CDK11B",1.10289355628059,2.28,-1.17710644371941,0.52,2.1,1.51
"SLC35E2B",0.480460848287113,1.54178212442271,-1.0613212761356,0.13,1.69,1.05
"CDK11A",1.01291394779772,2.2,-1.18708605220228,0.16,2.21,1.76
"SLC35E2",0.0997899673735726,0.48,-0.380210032626427,0.24,0.58,0.57
"NADK",0.494495247459849,0.94,-0.445504752540151,0.34,0.46,2.01
