"","gene","score_avg","rank_avg"
"1","A1BG",-1.222,9457.1
"2","A1CF",-0.427142857142857,4203.71428571429
"3","A2M",-6.028,15825.2
"4","A2ML1",-0.305714285714286,3070.57142857143
"5","A3GALT2",-0.01,223
"6","A4GALT",-1.493,9751.3
"7","A4GNT",-0.226666666666667,2434.83333333333
"8","AAAS",-0.925,8205.2
"9","AACS",-1.143,9104.7
"10","AADAC",-0.646666666666667,5427.33333333333
"11","AADACL2",-0.51,4669.66666666667
"12","AADACL3",-0.556666666666667,6644.33333333333
"13","AADACL4",-0.07,1036.2
"14","AADAT",-0.31625,3151.75
"15","AAED1",-1.937,12440.3
"16","AAGAB",-0.783,6452.3
"17","AAK1",-0.818,7409.6
"18","AAMDC",-1.671,11754.2
"19","AAMP",-0.695,5868.3
"20","AANAT",-0.491428571428571,4783.85714285714
"21","AAR2",-0.932,7753.8
"22","AARD",-0.86125,6696
"23","AARS",-1.502,10640.9
"24","AARS2",-0.925555555555556,7708
"25","AARSD1",-1.064,9264
"26","AASDH",-1.058,8818.4
"27","AASDHPPT",-0.717,6683.1
"28","AASS",-1.52333333333333,11305
"29","AATF",-0.559,4801.2
"30","AATK",-0.954,6901.5
"31","AATK.AS1",-0.02,1435
"32","ABAT",-0.492222222222222,4630.88888888889
"33","ABCA1",-3.316,15126.1
"34","ABCA10",-0.614444444444444,5654.55555555556
"35","ABCA12",-0.39,4139.5
"36","ABCA13",-0.27,2912.16666666667
"37","ABCA2",-1.235,9965.8
"38","ABCA3",-0.69,6417.8
"39","ABCA4",-0.394285714285714,4285.14285714286
"40","ABCA5",-1.276,10169.2
"41","ABCA6",-1.404,10840.6
"42","ABCA7",-1.447,10583
"43","ABCA8",-0.77,5270.55555555556
"44","ABCA9",-0.57875,5242.75
"45","ABCB1",-3.067,14954.7
"46","ABCB10",-1.18555555555556,8971.55555555555
"47","ABCB11",-0.345714285714286,3851.42857142857
"48","ABCB4",-2.192,12798.1
"49","ABCB5",-0.527777777777778,5163.66666666667
"50","ABCB6",-0.664285714285714,5803.42857142857
"51","ABCB7",-1.17222222222222,8893.88888888889
"52","ABCB8",-1.01333333333333,8673.44444444445
"53","ABCB9",-1.49666666666667,9773.88888888889
"54","ABCC1",-1.373,9432.6
"55","ABCC10",-0.85,7358
"56","ABCC11",-0.406666666666667,3802.66666666667
"57","ABCC12",-0.142,2088.4
"58","ABCC2",-0.454444444444444,4410.33333333333
"59","ABCC3",-2.106,12929.7
"60","ABCC4",-2.082,12778.4
"61","ABCC5",-1.096,8814.9
"62","ABCC6",-0.638,5466.6
"63","ABCC8",-0.381111111111111,3658.88888888889
"64","ABCC9",-0.778888888888889,6659
"65","ABCD1",-1.08777777777778,8982.77777777778
"66","ABCD2",-1.55555555555556,10438.1111111111
"67","ABCD3",-1.72666666666667,11163
"68","ABCD4",-1.147,9108.7
"69","ABCE1",-0.537,5418.4
"70","ABCF1",-0.547,5023.2
"71","ABCF2",-0.791111111111111,6869.44444444444
"72","ABCF3",-0.819,6607.4
"73","ABCG1",-1.124,9222.1
"74","ABCG2",-1.307,10196
"75","ABCG4",-0.242857142857143,3169
"76","ABCG5",-0.284285714285714,2869.28571428571
"77","ABCG8",-0.128333333333333,1826.33333333333
"78","ABHD1",-0.789,6909.5
"79","ABHD10",-1.08777777777778,8639.44444444445
"80","ABHD11",-1.22333333333333,9510.44444444445
"81","ABHD12",-1.855,12560.8
"82","ABHD12B",-0.655714285714286,5708.14285714286
"83","ABHD13",-0.953,7894.9
"84","ABHD14A",-0.984,8324.4
"85","ABHD14A.ACY1",-0.883333333333333,7525.33333333333
"86","ABHD14B",-0.962,8245.9
"87","ABHD15",-1.499,11131.4
"88","ABHD16A",-0.886,7239.6
"89","ABHD16B",-0.658333333333333,5151
"90","ABHD17A",-1.15625,9215.75
"91","ABHD17B",-1.2675,9848.625
"92","ABHD17C",-1.3675,10379.125
"93","ABHD2",-1.378,10307.8
"94","ABHD3",-0.77,6515.4
"95","ABHD4",-0.99,8396.8
"96","ABHD5",-1.53,10659
"97","ABHD6",-1.14,9281.9
"98","ABHD8",-0.927,7845.5
"99","ABI1",-0.567,5176.4
"100","ABI2",-0.78,7104.4
"101","ABI3",-1.612,11782.5
"102","ABI3BP",-1.18111111111111,8734.77777777778
"103","ABL1",-1.011,8687.9
"104","ABL2",-2.228,13018.5
"105","ABLIM1",-2.464,13800.7
"106","ABLIM2",-1.44666666666667,10710.4444444444
"107","ABLIM3",-1.223,9288
"108","ABO",-0.99,7924.6
"109","ABR",-1.319,10560.9
"110","ABRA",-0.571666666666667,4346.5
"111","ABRACL",-0.716,5672.3
"112","ABT1",-0.781,6615.3
"113","ABTB1",-1.249,8383.8
"114","ABTB2",-0.657,6038.6
"115","AC002310.13",-0.38,4228.5
"116","AC002398.9",-1.055,9037
"117","AC002429.5",-0.343333333333333,4384.66666666667
"118","AC002985.3",-1.08,8291.5
"119","AC003002.4",-1.28,10627
"120","AC003002.6",-0.365,3247.5
"121","AC003005.4",-0.226666666666667,2584.33333333333
"122","AC003006.7",-2.9,11699.5
"123","AC004076.7",-1.08,8334
"124","AC004076.9",-1.02,7901
"125","AC004381.6",-1.128,8958.8
"126","AC004754.3",-0.185,3007
"127","AC005281.1",-0.135,1438
"128","AC005779.2",-0.19,2413
"129","AC006116.20",-0.7025,6017.75
"130","AC006486.9",-0.19,2233.66666666667
"131","AC006538.4",-2.56,15680
"132","AC007040.11",-0.2275,2631.25
"133","AC009014.3",-0.08,1291.33333333333
"134","AC009336.19",-0.03,963
"135","AC010547.9",-0.843333333333333,7196
"136","AC010642.1",-0.73,6914.75
"137","AC010646.3",-0.68,5420
"138","AC010731.4",-0.01,273
"139","AC011513.3",-0.41,3608
"140","AC011530.4",-0.825,6248.5
"141","AC013269.5",-0.02,543
"142","AC015688.3",-1.575,11968.5
"143","AC024592.12",-0.37,3827
"144","AC025263.3",-1.16,9892.66666666667
"145","AC025335.1",-1.268,9698.2
"146","AC037459.4",-0.633333333333333,5522
"147","AC068533.7",-0.94,7165.66666666667
