"","min_2","max_other","target_score","gene","rank"
"TNFRSF9",4.22,3.16,1.06,"TNFRSF9",1
"CEP55",1.45,0.61,0.84,"CEP55",2
"GCNT1",2.54,1.82,0.72,"GCNT1",3
"PHLDA1",4.61,3.94,0.67,"PHLDA1",4
"HERC6",2.71,2.04,0.67,"HERC6",5
"SAMD9",4.58,3.96,0.62,"SAMD9",6
"DNPH1",4.34,3.74,0.6,"DNPH1",7
"PPM1G",4.45,3.86,0.59,"PPM1G",8
"HERC5",4.39,3.8,0.59,"HERC5",9
"TIGIT",6.13,5.57,0.56,"TIGIT",10
"PTTG1",4.62,4.07,0.55,"PTTG1",11
"ARPP19",4.16,3.63,0.53,"ARPP19",12
"YOD1",1.07,0.57,0.5,"YOD1",13
"SH2D2A",4.7,4.2,0.5,"SH2D2A",14
"LAYN",3.48,2.98,0.5,"LAYN",15
"TMEM140",2.93,2.44,0.49,"TMEM140",16
"NAB1",2.45,1.97,0.48,"NAB1",17
"BTG3",4.24,3.79,0.45,"BTG3",18
"CACYBP",5.17,4.76,0.41,"CACYBP",19
"TSPAN5",3.39,2.98,0.41,"TSPAN5",20
"GALM",4.49,4.1,0.390000000000001,"GALM",21
"PRKAR1B",2.36,1.97,0.39,"PRKAR1B",22
"TRPC4AP",2.56,2.2,0.36,"TRPC4AP",23
"CXCR3",4.61,4.27,0.340000000000001,"CXCR3",24
"HPRT1",3.65,3.33,0.32,"HPRT1",25
"SGMS1",2.31,2,0.31,"SGMS1",26
"PHF11",3.74,3.43,0.31,"PHF11",27
"CBX3",4.79,4.5,0.29,"CBX3",28
"DDHD1",3.04,2.75,0.29,"DDHD1",29
"NBR1",2.82,2.53,0.29,"NBR1",30
"OPTN",4.02,3.73,0.29,"OPTN",31
"INPP5F",2.09,1.81,0.28,"INPP5F",32
"OPA1",2.02,1.75,0.27,"OPA1",33
"ZFP57",1.31,1.04,0.27,"ZFP57",34
"FADD",2.22,1.96,0.26,"FADD",35
"TBK1",2.6,2.34,0.26,"TBK1",36
"C18orf25",1.97,1.71,0.26,"C18orf25",37
"HNRNPC",5.34,5.08,0.26,"HNRNPC",38
"C21orf91",2.8,2.54,0.26,"C21orf91",39
"CCT3",4.63,4.38,0.25,"CCT3",40
"SH3KBP1",4.62,4.37,0.25,"SH3KBP1",41
"SKA2",2.89,2.64,0.25,"SKA2",42
"SRPK1",2.95,2.71,0.24,"SRPK1",43
"IL2RG",6.15,5.91,0.24,"IL2RG",44
"STIP1",3.12,2.88,0.24,"STIP1",45
"NAA60",2.49,2.25,0.24,"NAA60",46
"TDP1",1.83,1.59,0.24,"TDP1",47
"ZBED6",2.35,2.12,0.23,"ZBED6",48
"LRBA",3.31,3.08,0.23,"LRBA",49
"DDX60",2.65,2.42,0.23,"DDX60",50
"HNRNPU",4.55,4.32,0.23,"HNRNPU",51
"RPUSD3",2.54,2.32,0.22,"RPUSD3",52
"RTF1",4.16,3.94,0.22,"RTF1",53
"ADAT2",1.41,1.19,0.22,"ADAT2",54
"SMC3",4.1,3.88,0.22,"SMC3",55
"TSPAN17",2.49,2.28,0.21,"TSPAN17",56
"ANP32E",3.7,3.49,0.21,"ANP32E",57
"PSMD4",4.47,4.26,0.21,"PSMD4",58
"SETD2",2.78,2.57,0.21,"SETD2",59
"DEF6",4.2,3.99,0.21,"DEF6",60
"NUDT5",3.83,3.62,0.21,"NUDT5",61
"HELLS",1.99,1.78,0.21,"HELLS",62
"ANKS1B",1.77,1.56,0.21,"ANKS1B",63
"RBM19",1.82,1.61,0.21,"RBM19",64
"CMTM3",3.95,3.74,0.21,"CMTM3",65
"FAM104A",3.28,3.07,0.21,"FAM104A",66
"LBH",4.33,4.13,0.2,"LBH",67
"C16orf87",2.97,2.77,0.2,"C16orf87",68
"LDB1",1.21,1.01,0.2,"LDB1",69
"EED",3.3,3.1,0.2,"EED",70
"CTCF",2.59,2.39,0.2,"CTCF",71
"TPR",4.58,4.39,0.19,"TPR",72
"NOP58",3.97,3.78,0.19,"NOP58",73
"SSBP1",4.57,4.38,0.19,"SSBP1",74
"CKAP2",2.7,2.51,0.19,"CKAP2",75
"APOBEC3F",1.58,1.39,0.19,"APOBEC3F",76
"SLC16A1",1.54,1.35,0.19,"SLC16A1",77
"ZFR",3.03,2.84,0.19,"ZFR",78
"CCNI2",0.72,0.53,0.19,"CCNI2",79
"DMTF1",2.41,2.22,0.19,"DMTF1",80
"DBF4",2.35,2.16,0.19,"DBF4",81
"MFAP1",2.78,2.59,0.19,"MFAP1",82
"ZNRF1",2.59,2.4,0.19,"ZNRF1",83
"KLHDC7B",1.72,1.53,0.19,"KLHDC7B",84
"CARD16",5.14,4.95,0.19,"CARD16",85
"CTLA4",4.53,4.35,0.180000000000001,"CTLA4",86
"ZMAT2",3.77,3.59,0.18,"ZMAT2",87
"RBM18",2.35,2.17,0.18,"RBM18",88
"TTC39C",3.52,3.34,0.18,"TTC39C",89
"HNRNPR",4.26,4.08,0.18,"HNRNPR",90
"CPNE2",2.84,2.66,0.18,"CPNE2",91
"STK17B",4.96,4.79,0.17,"STK17B",92
"PDAP1",3.98,3.81,0.17,"PDAP1",93
"DCPS",3.09,2.92,0.17,"DCPS",94
"TRIM69",2.87,2.7,0.17,"TRIM69",95
"IQGAP1",4.46,4.29,0.17,"IQGAP1",96
"DYNLRB1",4.9,4.73,0.17,"DYNLRB1",97
"ADAR",4.28,4.12,0.16,"ADAR",98
"OXCT1",2.23,2.07,0.16,"OXCT1",99
"HNRNPK",5.78,5.62,0.16,"HNRNPK",100
"RMI1",1.11,0.95,0.16,"RMI1",101
"PCED1B",3.18,3.02,0.16,"PCED1B",102
"FANCI",0.84,0.68,0.16,"FANCI",103
"NRBP1",3.7,3.55,0.15,"NRBP1",104
"CHMP1A",2.74,2.59,0.15,"CHMP1A",105
"SV2A",0.7,0.55,0.15,"SV2A",106
"SRBD1",1.68,1.53,0.15,"SRBD1",107
"IP6K1",2.28,2.13,0.15,"IP6K1",108
"NOL7",4.13,3.98,0.15,"NOL7",109
"DCAF11",2.83,2.68,0.15,"DCAF11",110
"OGFOD1",1.97,1.82,0.15,"OGFOD1",111
"SLC25A11",3.32,3.17,0.15,"SLC25A11",112
"RAD51C",2.38,2.23,0.15,"RAD51C",113
"MDH1",4.31,4.16,0.149999999999999,"MDH1",114
"IFI44L",4.86,4.72,0.140000000000001,"IFI44L",115
"OGDH",1.86,1.72,0.14,"OGDH",116
"SMARCAD1",1.71,1.57,0.14,"SMARCAD1",117
"PARK7",6.04,5.9,0.14,"PARK7",118
"SIT1",4.92,4.78,0.14,"SIT1",119
"CARD17",0.48,0.35,0.13,"CARD17",120
"TMEM222",2.29,2.16,0.13,"TMEM222",121
"ARID4B",4.56,4.43,0.13,"ARID4B",122
"CYFIP2",3.35,3.22,0.13,"CYFIP2",123
"SNRPC",4.31,4.18,0.13,"SNRPC",124
"SSNA1",4.17,4.04,0.13,"SSNA1",125
"ANP32A",3.98,3.85,0.13,"ANP32A",126
"GDE1",2.62,2.49,0.13,"GDE1",127
"KPNB1",4.01,3.88,0.13,"KPNB1",128
"GSS",2.31,2.18,0.13,"GSS",129
"HLA.A",9.61,9.48,0.129999999999999,"HLA.A",130
"HLA.B",9.61,9.48,0.129999999999999,"HLA.B",131
"PSMA5",4.38,4.26,0.12,"PSMA5",132
"TYW5",2.06,1.94,0.12,"TYW5",133
"PSMD6",3.27,3.15,0.12,"PSMD6",134
