"","min_2","max_other","target_score","gene","rank"
"CORO6",1.22,0.56,0.66,"CORO6",1
"IPP",1.97,1.32,0.65,"IPP",2
"TLE6",0.8,0.18,0.62,"TLE6",3
"NABP2",2.9,2.28,0.62,"NABP2",4
"CSTF2",3.36,2.81,0.55,"CSTF2",5
"POLG",3.04,2.51,0.53,"POLG",6
"PNKP",2.87,2.34,0.53,"PNKP",7
"LAYN",3.97,3.45,0.52,"LAYN",8
"UBASH3A",2.84,2.33,0.51,"UBASH3A",9
"TNFRSF9",3.78,3.28,0.5,"TNFRSF9",10
"SMKR1",0.46,0.01,0.45,"SMKR1",11
"TIGIT",5.71,5.31,0.4,"TIGIT",12
"PIGS",2.87,2.49,0.38,"PIGS",13
"ABAT",1.23,0.86,0.37,"ABAT",14
"NFU1",3.46,3.11,0.35,"NFU1",15
"MMP13",0.34,0,0.34,"MMP13",16
"MX1",5.26,4.92,0.34,"MX1",17
"SURF4",5.47,5.14,0.33,"SURF4",18
"ELOF1",3.99,3.68,0.31,"ELOF1",19
"NCR1",1.1,0.81,0.29,"NCR1",20
"VPS18",1.8,1.51,0.29,"VPS18",21
"CXCR6",7.31,7.03,0.279999999999999,"CXCR6",22
"ELK1",1.6,1.33,0.27,"ELK1",23
"PCED1B",3.25,3,0.25,"PCED1B",24
"SF3B3",2.94,2.69,0.25,"SF3B3",25
"DPH5",2.04,1.82,0.22,"DPH5",26
"EED",4,3.79,0.21,"EED",27
"MPC2",3.53,3.32,0.21,"MPC2",28
"AKAP11",1.17,0.96,0.21,"AKAP11",29
"RECQL",3.58,3.38,0.2,"RECQL",30
"NTNG2",0.31,0.11,0.2,"NTNG2",31
"ZNF282",1.41,1.21,0.2,"ZNF282",32
"ASB2",2.42,2.23,0.19,"ASB2",33
"DDX60",2.26,2.08,0.18,"DDX60",34
"TAS2R31",0.26,0.09,0.17,"TAS2R31",35
"SLC35G1",0.5,0.33,0.17,"SLC35G1",36
"C20orf24",4.39,4.22,0.17,"C20orf24",37
"TXNRD1",2.91,2.75,0.16,"TXNRD1",38
"HS1BP3",1.51,1.35,0.16,"HS1BP3",39
"ZNF567",2.11,1.95,0.16,"ZNF567",40
"UBE2L3",3.88,3.72,0.16,"UBE2L3",41
"ENTPD1",4.26,4.11,0.149999999999999,"ENTPD1",42
"MIEN1",4.15,4.01,0.140000000000001,"MIEN1",43
"CCDC136",0.5,0.36,0.14,"CCDC136",44
"HAVCR1",1.03,0.89,0.14,"HAVCR1",45
"PRRT3",0.69,0.55,0.14,"PRRT3",46
"SH2D2A",4.22,4.08,0.14,"SH2D2A",47
"TBKBP1",0.3,0.17,0.13,"TBKBP1",48
"GNB5",2.65,2.53,0.12,"GNB5",49
"CD3D",7.41,7.29,0.12,"CD3D",50
"AGAP5",1.08,0.97,0.11,"AGAP5",51
"CABP7",0.17,0.06,0.11,"CABP7",52
"NCALD",2.6,2.49,0.11,"NCALD",53
"PFKP",4.09,3.98,0.11,"PFKP",54
"CSNK2A1",2.94,2.84,0.1,"CSNK2A1",55
