"","gene","X","min_2","max_other","target_score","rank","CAF","cDC3 LAMP3","Endothelial","Macrophage M1","Macrophage M2","Macrophage other","Mast","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","Tfh","Th1","Th17","Th2","Treg"
"3","ABAT","ABAT","1.23","0.86","0.37","14","0.23","0.00","0.29","0.30","0.03","0.64","0.25","0.24","0.33","0.86","0.00","0.00","1.40","0.00","0.02","0.24","0.77","1.23"
"4","AKAP11","AKAP11","1.17","0.96","0.21","29","0.70","0.01","0.63","0.31","0.35","0.27","0.57","0.15","0.67","0.48","0.01","0.96","1.17","0.00","0.85","0.66","0.59","1.22"
"5","ASB2","ASB2","2.42","2.23","0.19","33","1.30","0.00","0.00","0.77","0.83","0.00","0.41","0.05","0.06","0.00","0.00","1.34","2.96","2.20","1.43","2.23","0.56","2.42"
"6","CORO6","CORO6","1.22","0.56","0.66","1","1.36","0.00","0.19","0.00","0.00","0.00","0.00","0.10","0.00","0.00","0.00","0.56","1.43","0.00","0.11","0.00","0.27","1.22"
"7","CSTF2","CSTF2","3.36","2.81","0.55","5","1.65","1.33","2.47","2.37","1.45","1.91","1.39","1.84","1.70","1.53","0.00","1.82","3.36","0.00","2.81","2.50","2.68","3.44"
"8","CTLA4","CTLA4","6.28","6.39","-0.109999999999999","2435","0.28","1.09","0.07","1.15","1.47","1.87","0.00","0.01","1.61","3.24","0.00","3.89","7.51","4.54","5.84","6.39","6.24","6.28"
"9","CXCR6","CXCR6","7.31","7.03","0.279999999999999","22","0.11","0.00","0.03","0.24","0.00","1.29","0.29","0.00","0.01","4.78","4.92","5.20","7.40","4.99","6.26","7.03","5.49","7.31"
"10","DDX60","DDX60","2.26","2.08","0.18","34","1.49","1.17","1.83","1.59","1.11","1.11","1.48","0.00","1.40","1.65","0.36","1.92","2.26","1.62","2.08","2.03","2.02","2.51"
"11","DPH5","DPH5","2.04","1.82","0.22","26","1.54","0.01","1.82","0.61","0.29","1.60","1.61","1.09","0.72","0.65","0.04","0.99","2.04","0.00","0.01","1.58","0.88","2.14"
"12","EED","EED","4","3.79","0.21","27","1.59","2.37","1.66","0.57","0.62","2.66","1.59","2.00","3.55","3.22","1.43","3.21","4.26","0.80","3.11","3.79","3.18","4.00"
"13","ELK1","ELK1","1.6","1.33","0.27","23","1.87","1.04","0.94","0.43","0.74","1.19","1.12","0.25","0.14","1.33","0.00","0.00","1.60","0.00","0.97","0.70","1.07","1.98"
"14","ELOF1","ELOF1","3.99","3.68","0.31","19","2.84","1.67","2.53","1.57","1.82","2.96","2.01","2.52","3.44","3.02","2.90","2.03","3.99","0.95","3.68","3.36","3.34","4.13"
"15","IPP","IPP","1.97","1.32","0.65","2","1.36","1.12","1.06","0.01","0.02","0.02","0.59","0.13","0.65","1.32","0.13","1.27","2.09","0.02","0.25","0.85","0.50","1.97"
"16","LAYN","LAYN","3.97","3.45","0.52","8","2.09","0.17","3.45","0.09","0.00","1.16","0.00","0.01","1.65","0.01","0.00","0.01","3.97","0.00","2.88","3.04","3.01","4.38"
"17","MMP13","MMP13","0.34","0","0.34","16","1.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.59","0.00","0.00","0.00","0.00","0.34"
"18","MPC2","MPC2","3.53","3.32","0.21","28","2.39","2.57","2.25","2.60","2.94","2.78","2.24","3.02","3.13","2.95","3.14","2.87","3.83","0.87","3.09","3.32","3.00","3.53"
"19","MX1","MX1","5.26","4.92","0.34","17","3.87","3.45","4.23","4.76","4.13","4.50","3.04","4.67","4.60","4.11","3.48","4.65","5.26","4.88","4.58","4.92","4.54","5.43"
"20","NABP2","NABP2","2.9","2.28","0.62","4","2.08","2.20","2.28","0.99","1.23","1.02","1.58","1.15","0.28","1.89","0.07","1.24","3.17","0.15","2.16","2.08","1.88","2.90"
"21","NCR1","NCR1","1.1","0.81","0.29","20","0.00","0.26","0.03","0.00","0.11","0.00","0.00","0.00","0.00","0.81","0.00","0.00","1.14","0.00","0.28","0.00","0.00","1.10"
"22","NFU1","NFU1","3.46","3.11","0.35","15","3.22","2.79","2.89","2.34","2.21","2.22","2.21","2.32","2.87","2.34","0.00","2.40","3.46","0.70","2.46","2.19","3.11","3.61"
"23","NTNG2","NTNG2","0.31","0.11","0.2","31","0.02","0.05","0.00","0.00","0.00","0.00","0.11","0.00","0.00","0.01","0.00","0.02","0.53","0.00","0.11","0.05","0.09","0.31"
"24","PCED1B","PCED1B","3.25","3","0.25","24","0.60","0.52","0.41","1.08","1.72","2.75","1.59","1.47","2.60","3.00","0.11","2.03","3.25","0.76","2.28","2.92","2.55","3.31"
"25","PDCD1","PDCD1","3.41","4.89","-1.48","11418","0.00","0.00","0.00","0.95","0.33","1.15","0.18","0.01","0.44","2.86","0.00","4.89","4.58","4.44","4.86","4.37","3.00","3.41"
"26","PIGS","PIGS","2.87","2.49","0.38","13","2.60","1.56","2.49","1.97","2.55","2.36","2.05","1.87","1.97","2.41","0.00","1.31","2.87","0.00","2.21","2.29","1.69","3.09"
"27","PNKP","PNKP","2.87","2.34","0.53","7","1.55","1.07","2.01","0.04","1.17","2.05","1.76","2.03","0.63","2.34","0.00","1.56","2.87","2.22","1.85","2.07","1.08","2.99"
"28","POLG","POLG","3.04","2.51","0.53","6","1.74","2.44","1.81","0.65","0.56","2.31","2.08","1.21","2.26","1.84","0.00","2.26","3.04","0.07","2.28","2.51","2.42","3.04"
"29","RECQL","RECQL","3.58","3.38","0.2","30","2.51","2.97","2.88","2.17","2.15","2.41","2.71","1.70","3.38","3.22","0.00","3.20","3.97","3.17","3.28","3.16","2.87","3.58"
"30","SF3B3","SF3B3","2.94","2.69","0.25","25","1.90","1.54","2.10","1.70","1.90","1.51","1.07","1.36","2.09","2.55","0.18","2.61","3.01","1.23","2.35","2.18","2.69","2.94"
"31","SMKR1","SMKR1","0.46","0.01","0.45","11","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.58","0.00","0.01","0.00","0.00","0.46"
"32","SURF4","SURF4","5.47","5.14","0.33","18","4.53","3.09","4.05","3.89","3.39","3.96","4.40","4.65","3.56","4.86","5.14","4.97","5.52","3.97","4.91","5.11","4.49","5.47"
