"","min_2","max_other","target_score","gene","rank"
"PTTG1",3.01,2.37,0.64,"PTTG1",1
"TSPAN5",2.72,2.22,0.5,"TSPAN5",2
"ABCC10",2.74,2.27,0.47,"ABCC10",3
"LRBA",3.64,3.17,0.47,"LRBA",4
"TPX2",1.6,1.19,0.41,"TPX2",5
"FAM219A",1.75,1.42,0.33,"FAM219A",6
"TMEM17",0.66,0.33,0.33,"TMEM17",7
"POLA1",1.24,0.92,0.32,"POLA1",8
"TAP1",5.52,5.21,0.31,"TAP1",9
"FAM83D",0.92,0.62,0.3,"FAM83D",10
"HLA.A",9.73,9.44,0.290000000000001,"HLA.A",11
"KLHL7",2.24,1.95,0.29,"KLHL7",12
"CD27",5.55,5.27,0.28,"CD27",13
"HMGB2",5.36,5.09,0.27,"HMGB2",14
"DEPDC1B",0.51,0.24,0.27,"DEPDC1B",15
"INTS7",1.61,1.34,0.27,"INTS7",16
"FANCI",1.42,1.16,0.26,"FANCI",17
"GPR132",3.09,2.83,0.26,"GPR132",18
"CDCA5",0.78,0.53,0.25,"CDCA5",19
"IL32",7.98,7.74,0.24,"IL32",20
"CENPF",1.97,1.73,0.24,"CENPF",21
"DNAJC6",0.76,0.52,0.24,"DNAJC6",22
"KIF4A",0.72,0.49,0.23,"KIF4A",23
"TOX",3.78,3.55,0.23,"TOX",24
"CDKN2B",0.91,0.69,0.22,"CDKN2B",25
"SP4",3.03,2.83,0.2,"SP4",26
"GBP7",0.31,0.12,0.19,"GBP7",27
"ARHGAP11A",1.18,0.99,0.19,"ARHGAP11A",28
"FAM120AOS",2.85,2.67,0.18,"FAM120AOS",29
"NIPA1",2.29,2.11,0.18,"NIPA1",30
"NCAPH",1.3,1.13,0.17,"NCAPH",31
"E2F7",0.29,0.12,0.17,"E2F7",32
"BAX",4.52,4.35,0.17,"BAX",33
"LYPLA2",3.38,3.22,0.16,"LYPLA2",34
"CDKN2C",1.86,1.71,0.15,"CDKN2C",35
"TRIM46",0.98,0.83,0.15,"TRIM46",36
"SPAG6",0.18,0.03,0.15,"SPAG6",37
"NBR1",3.52,3.37,0.15,"NBR1",38
"BTG3",3.67,3.53,0.14,"BTG3",39
"FBXO36",0.55,0.41,0.14,"FBXO36",40
"COPE",4.54,4.4,0.14,"COPE",41
"MXD4",4.02,3.88,0.14,"MXD4",42
"USMG5",4.42,4.28,0.14,"USMG5",43
"SMARCD1",3.16,3.03,0.13,"SMARCD1",44
"CDT1",0.88,0.75,0.13,"CDT1",45
"ASB2",2.46,2.33,0.13,"ASB2",46
"HMGN2",1.92,1.79,0.13,"HMGN2",47
"PITPNM1",2.54,2.41,0.13,"PITPNM1",48
"PPP1CA",5.52,5.39,0.13,"PPP1CA",49
"ZBTB11",2.27,2.14,0.13,"ZBTB11",50
"HLA.F",6.29,6.17,0.12,"HLA.F",51
"RHNO1",2.81,2.69,0.12,"RHNO1",52
"ZNF568",1.3,1.18,0.12,"ZNF568",53
"STIM1",3.95,3.84,0.11,"STIM1",54
"ALG6",1.64,1.53,0.11,"ALG6",55
"UBE2A",3.35,3.24,0.11,"UBE2A",56
"BUB3",4.69,4.59,0.100000000000001,"BUB3",57
"ARL6IP6",2.89,2.79,0.1,"ARL6IP6",58
"RRM2",1.68,1.59,0.0899999999999999,"RRM2",59
"AEBP2",2.77,2.69,0.0800000000000001,"AEBP2",60
"CHCHD2",5.78,5.7,0.0800000000000001,"CHCHD2",61
"PLCB1",1.33,1.25,0.0800000000000001,"PLCB1",62
"PSMB8",4.96,4.88,0.0800000000000001,"PSMB8",63
"SLC27A2",1.5,1.42,0.0800000000000001,"SLC27A2",64
"YIF1A",2.94,2.86,0.0800000000000001,"YIF1A",65
"SUMO1",3.53,3.45,0.0799999999999996,"SUMO1",66
"UBASH3A",2.97,2.9,0.0700000000000003,"UBASH3A",67
"ZNF790",1.08,1.01,0.0700000000000001,"ZNF790",68
"DZIP3",2.37,2.31,0.0600000000000001,"DZIP3",69
"DOCK10",4.11,4.06,0.0500000000000007,"DOCK10",70
"CDKN3",1.04,0.99,0.05,"CDKN3",71
"TMSB15A",0.05,0,0.05,"TMSB15A",72
"ZC2HC1C",0.13,0.08,0.05,"ZC2HC1C",73
"LRRIQ3",0.19,0.14,0.05,"LRRIQ3",74
"ALDH9A1",3.38,3.33,0.0499999999999998,"ALDH9A1",75
"BTN3A3",3.69,3.64,0.0499999999999998,"BTN3A3",76
"CD3D",6.33,6.28,0.0499999999999998,"CD3D",77
"CDKN2A",1.89,1.84,0.0499999999999998,"CDKN2A",78
"DBF4",2.44,2.39,0.0499999999999998,"DBF4",79
"COX6B1",5.13,5.09,0.04,"COX6B1",80
"MRPL20",3.99,3.95,0.04,"MRPL20",81
"NDUFAF3",3.86,3.82,0.04,"NDUFAF3",82
"NUF2",0.93,0.89,0.04,"NUF2",83
"SPAG7",3.49,3.45,0.04,"SPAG7",84
"TTC39B",3.27,3.23,0.04,"TTC39B",85
"PARPBP",0.59,0.55,0.0399999999999999,"PARPBP",86
"SLU7",3.28,3.24,0.0399999999999996,"SLU7",87
"HLA.B",10.3,10.27,0.0300000000000011,"HLA.B",88
"IL12RB1",3.04,3.01,0.0300000000000002,"IL12RB1",89
"KLC1",3.54,3.51,0.0300000000000002,"KLC1",90
"NUSAP1",1.97,1.94,0.03,"NUSAP1",91
"LARP1",4.18,4.15,0.0299999999999994,"LARP1",92
"RASGRP1",4.43,4.4,0.0299999999999994,"RASGRP1",93
"PSMB9",5.16,5.14,0.0200000000000005,"PSMB9",94
"SYNCRIP",4.04,4.02,0.0200000000000005,"SYNCRIP",95
"CDK6",2.92,2.9,0.02,"CDK6",96
"DSCC1",0.26,0.24,0.02,"DSCC1",97
