"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","CAF","Endothelial","Macrophage M1","Macrophage M2","Macrophage other","NK","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","ARL6IP1","ARL6IP1","5.54","5.07","0.47","10","4.97","4.15","4.47","4.03","4.03","4.92","4.76","4.96","4.59","5.07","4.34","4.99","4.78","4.57","5.66","3.04","4.71","4.49","4.42","4.40","5.54"
"4","BUB3","BUB3","5.23","5.01","0.220000000000001","27","4.58","3.76","4.16","3.93","3.50","3.27","3.54","2.98","3.48","4.67","4.06","5.01","4.62","4.75","5.23","3.93","4.74","4.88","4.36","4.31","5.65"
"5","CCNE2","CCNE2","0.98","0.79","0.19","32","0.79","0.37","0.00","0.46","0.40","0.03","0.20","0.00","0.03","0.77","0.06","0.07","0.69","0.15","1.05","0.38","0.37","0.16","0.00","0.47","0.98"
"6","CD27","CD27","6.21","5.76","0.45","11","4.87","3.91","5.56","5.24","0.32","0.85","1.43","0.26","2.17","3.25","5.37","5.64","0.35","4.92","6.52","4.74","5.76","5.52","4.06","5.51","6.21"
"7","CHORDC1","CHORDC1","2.25","2","0.25","22","1.57","1.93","0.96","1.54","1.46","1.05","1.58","0.91","1.37","1.92","0.97","1.64","1.21","1.44","2.38","1.58","1.54","1.52","2.00","1.76","2.25"
"8","CSF1","CSF1","3.17","2.52","0.65","5","0.67","0.08","0.01","0.01","1.75","2.16","0.11","0.07","0.93","2.40","0.71","2.16","1.85","2.52","3.17","0.00","1.21","2.42","1.72","1.40","3.23"
"9","CTLA4","CTLA4","4.47","4.65","-0.180000000000001","2920","1.41","0.21","0.51","0.12","0.02","1.28","0.88","0.42","1.18","0.51","2.07","2.60","0.00","2.35","4.47","1.05","4.18","4.65","3.23","3.72","5.51"
"10","EID1","EID1","5.07","4.85","0.220000000000001","26","4.34","3.68","3.79","4.11","5.39","4.85","4.06","3.82","3.86","4.75","4.30","4.51","4.19","4.59","5.23","2.92","4.48","4.61","4.73","4.60","5.07"
"11","EIF4E","EIF4E","3.45","3.23","0.22","28","3.23","2.89","3.00","2.69","3.46","2.99","2.96","2.84","2.82","2.98","2.33","3.04","3.09","3.17","3.45","2.55","2.61","2.87","2.60","2.90","3.51"
"12","FLII","FLII","3.72","3.53","0.19","31","2.94","2.75","2.94","3.02","2.97","3.20","3.36","3.51","3.02","2.76","2.78","3.53","2.73","2.65","3.72","1.93","3.39","3.03","3.18","3.17","3.80"
