"","min_2","max_other","target_score","gene","rank"
"PHLDA1",4.59,4.02,0.57,"PHLDA1",1
"CSF1",4.55,4,0.55,"CSF1",2
"UBASH3B",3.27,2.86,0.41,"UBASH3B",3
"ADAT2",2.04,1.65,0.39,"ADAT2",4
"LEMD1",0.21,0.03,0.18,"LEMD1",5
"SIT1",4.27,4.1,0.17,"SIT1",6
"CENPO",0.99,0.86,0.13,"CENPO",7
"HIST1H2AJ",2.31,2.19,0.12,"HIST1H2AJ",8
"CCND2",6.39,6.28,0.109999999999999,"CCND2",9
"RFC3",1.65,1.55,0.0999999999999999,"RFC3",10
"ASXL1",3.29,3.2,0.0899999999999999,"ASXL1",11
"SLBP",3.52,3.43,0.0899999999999999,"SLBP",12
"MTMR2",2.4,2.32,0.0800000000000001,"MTMR2",13
"MUC12",0.31,0.23,0.08,"MUC12",14
"MCL1",6.23,6.16,0.0700000000000003,"MCL1",15
"SLCO4A1",1.11,1.04,0.0700000000000001,"SLCO4A1",16
"SNCAIP",0.07,0,0.07,"SNCAIP",17
"STMN4",0.07,0,0.07,"STMN4",18
"NCAPG",2.03,1.96,0.0699999999999998,"NCAPG",19
"IL32",7.49,7.43,0.0600000000000005,"IL32",20
"HIST1H2AM",2.98,2.92,0.0600000000000001,"HIST1H2AM",21
"PTHLH",0.17,0.11,0.06,"PTHLH",22
"GRK7",0.06,0,0.06,"GRK7",23
"PARP4",3.74,3.69,0.0500000000000003,"PARP4",24
"RAC2",1.76,1.71,0.05,"RAC2",25
"GAP43",0.17,0.12,0.05,"GAP43",26
"ZC2HC1B",0.05,0,0.05,"ZC2HC1B",27
"ARHGEF12",3.32,3.27,0.0499999999999998,"ARHGEF12",28
"CCDC77",1.47,1.43,0.04,"CCDC77",29
"ESPL1",0.66,0.62,0.04,"ESPL1",30
"KIF24",0.33,0.29,0.04,"KIF24",31
"GINS3",1.14,1.1,0.0399999999999998,"GINS3",32
"LCP2",5.73,5.7,0.0300000000000002,"LCP2",33
"SRP14",6.3,6.27,0.0300000000000002,"SRP14",34
"C19orf45",0.03,0,0.03,"C19orf45",35
"EFS",0.04,0.01,0.03,"EFS",36
"FAM9B",0.03,0,0.03,"FAM9B",37
"SUPT7L",2.71,2.69,0.02,"SUPT7L",38
"C2orf73",0.02,0,0.02,"C2orf73",39
"C6orf10",0.02,0,0.02,"C6orf10",40
"CEACAM16",0.02,0,0.02,"CEACAM16",41
"CRYBB3",0.02,0,0.02,"CRYBB3",42
"DLK1",0.02,0,0.02,"DLK1",43
"GJC3",0.02,0,0.02,"GJC3",44
"HOXD3",0.02,0,0.02,"HOXD3",45
"ONECUT3",0.02,0,0.02,"ONECUT3",46
"PKP3",0.02,0,0.02,"PKP3",47
"PRAP1",0.02,0,0.02,"PRAP1",48
"RNF223",0.02,0,0.02,"RNF223",49
"SLITRK1",0.02,0,0.02,"SLITRK1",50
"TMEFF2",0.02,0,0.02,"TMEFF2",51
"WT1",0.02,0,0.02,"WT1",52
"ZFP42",0.02,0,0.02,"ZFP42",53
"PCDHGB3",0.03,0.01,0.02,"PCDHGB3",54
"VPS53",2.81,2.8,0.0100000000000002,"VPS53",55
"PLEKHS1",0.19,0.18,0.01,"PLEKHS1",56
"POP1",1.51,1.5,0.01,"POP1",57
"AQP8",0.04,0.03,0.01,"AQP8",58
"ACTL8",0.01,0,0.01,"ACTL8",59
"C16orf90",0.01,0,0.01,"C16orf90",60
"CAMKV",0.02,0.01,0.01,"CAMKV",61
"DLX3",0.01,0,0.01,"DLX3",62
"FGF1",0.01,0,0.01,"FGF1",63
"GABRG1",0.01,0,0.01,"GABRG1",64
"GJA1",0.01,0,0.01,"GJA1",65
"GPR1",0.01,0,0.01,"GPR1",66
"GPR21",0.01,0,0.01,"GPR21",67
"GRID1",0.01,0,0.01,"GRID1",68
"KRT79",0.01,0,0.01,"KRT79",69
"LY6G6E",0.01,0,0.01,"LY6G6E",70
"MORN5",0.01,0,0.01,"MORN5",71
"SLC2A4",0.01,0,0.01,"SLC2A4",72
"TMEM174",0.01,0,0.01,"TMEM174",73
"STRIP2",0.21,0.2,0.00999999999999998,"STRIP2",74
"OSBPL3",2.96,2.95,0.00999999999999979,"OSBPL3",75
"SH2D2A",5.09,5.08,0.00999999999999979,"SH2D2A",76
"ACCSL",0,0,0,"ACCSL",77
"ACMSD",0,0,0,"ACMSD",78
"ACTL7B",0,0,0,"ACTL7B",79
"ADAM21",0,0,0,"ADAM21",80
"ADAMTS12",0,0,0,"ADAMTS12",81
"AKAP4",0,0,0,"AKAP4",82
"AKNAD1",0,0,0,"AKNAD1",83
"AKR1B15",0,0,0,"AKR1B15",84
"ALLC",0,0,0,"ALLC",85
"ANGPTL1",0,0,0,"ANGPTL1",86
"ANKRD20A2",0,0,0,"ANKRD20A2",87
"ANKRD34C",0,0,0,"ANKRD34C",88
"ANP32D",0,0,0,"ANP32D",89
"APLNR",0,0,0,"APLNR",90
"AQP7",0,0,0,"AQP7",91
"ARHGAP40",0,0,0,"ARHGAP40",92
