"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Macrophage M1","Macrophage M2","Macrophage other","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","ADAT2","ADAT2","2.04","1.65","0.39","4","1.02","0.68","0.76","1.24","0.00","0.69","0.00","0.18","0.61","0.23","1.59","0.61","1.28","1.45","1.38","1.56","2.17","1.15","0.39","1.65","0.00","0.00","2.04"
"4","ARHGEF12","ARHGEF12","3.32","3.27","0.0499999999999998","28","2.35","1.86","1.57","2.02","2.55","1.72","0.00","2.85","2.67","2.50","3.01","3.02","2.24","2.81","2.91","2.79","3.32","2.76","2.75","3.27","2.57","0.00","4.12"
"5","ASXL1","ASXL1","3.29","3.2","0.0899999999999999","11","3.20","2.98","3.05","2.85","2.07","1.64","0.00","1.95","2.45","1.81","2.56","3.18","2.93","2.63","2.76","2.96","3.29","2.92","3.05","2.80","2.46","2.49","3.46"
"6","CCDC77","CCDC77","1.47","1.43","0.04","29","0.73","1.39","1.43","1.14","0.88","1.11","0.00","0.81","1.34","0.87","1.31","1.13","1.21","0.92","1.42","1.37","1.47","1.33","0.99","0.94","0.94","0.00","1.49"
"7","CCND2","CCND2","6.39","6.28","0.109999999999999","9","4.42","4.60","4.57","4.58","1.62","4.13","0.00","3.47","3.06","3.35","6.12","5.81","5.64","5.51","5.83","5.84","6.39","5.61","5.33","5.91","6.28","5.07","6.62"
"8","CENPO","CENPO","0.99","0.86","0.13","7","0.63","0.32","0.33","0.79","0.49","0.86","0.00","0.43","0.26","0.41","0.68","0.79","0.59","0.73","0.52","0.58","1.11","0.81","0.62","0.80","0.00","0.00","0.99"
"9","CSF1","CSF1","4.55","4","0.55","2","1.14","0.55","0.54","1.16","0.00","0.47","0.00","0.99","1.28","0.27","1.62","0.54","2.37","3.56","2.71","3.86","4.55","2.93","2.69","4.00","3.13","0.00","4.59"
"10","CTLA4","CTLA4","4.22","5.76","-1.54","12295","0.67","0.75","0.29","0.82","0.87","0.82","3.42","1.00","0.60","0.08","1.19","0.91","2.62","2.74","1.62","3.88","4.22","3.45","5.25","5.76","3.97","3.98","5.86"
"11","ESPL1","ESPL1","0.66","0.62","0.04","30","0.60","0.14","0.00","0.00","0.45","0.09","0.00","0.41","0.03","0.00","0.17","0.36","0.13","0.28","0.11","0.62","0.85","0.31","0.48","0.49","0.27","0.00","0.66"
"12","GAP43","GAP43","0.17","0.12","0.05","26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.02","0.09","0.00","0.00","0.06","0.17","0.12","0.00","0.10","0.00","0.00","0.18"
