"","min_2","max_other","target_score","gene","rank"
"CXCL13",5.64,3.29,2.35,"CXCL13",1
"GNG4",2.58,0.94,1.64,"GNG4",2
"CTLA4",5.53,3.95,1.58,"CTLA4",3
"ZBED2",2.69,1.38,1.31,"ZBED2",4
"LAYN",4.08,2.89,1.19,"LAYN",5
"IKZF4",3.07,1.94,1.13,"IKZF4",6
"TIGIT",5.99,4.86,1.13,"TIGIT",7
"GEM",4.87,3.86,1.01,"GEM",8
"CXCR6",5.1,4.09,1.01,"CXCR6",9
"PHEX",1.54,0.67,0.87,"PHEX",10
"MYO7A",2.8,1.98,0.82,"MYO7A",11
"RDH10",3.26,2.44,0.82,"RDH10",12
"DNPH1",3.89,3.14,0.75,"DNPH1",13
"ZNF282",3.42,2.67,0.75,"ZNF282",14
"NEBL",1.56,0.82,0.74,"NEBL",15
"GCNT1",2.49,1.85,0.64,"GCNT1",16
"SNAP47",2.16,1.62,0.54,"SNAP47",17
"LAIR2",1.61,1.1,0.51,"LAIR2",18
"PRDM1",5.29,4.79,0.5,"PRDM1",19
"PTPRJ",3.78,3.33,0.45,"PTPRJ",20
"HTATSF1",2.94,2.5,0.44,"HTATSF1",21
"HIVEP3",2.92,2.49,0.43,"HIVEP3",22
"SYT11",3.77,3.35,0.42,"SYT11",23
"PARD6G",2.29,1.9,0.39,"PARD6G",24
"SIRPG",3.54,3.15,0.39,"SIRPG",25
"CD2",6.01,5.63,0.38,"CD2",26
"ZC3H12C",1.68,1.3,0.38,"ZC3H12C",27
"CACYBP",5,4.63,0.37,"CACYBP",28
"MICAL2",3.48,3.12,0.36,"MICAL2",29
"GLCCI1",4.79,4.45,0.34,"GLCCI1",30
"SNX9",5.05,4.71,0.34,"SNX9",31
"IL2RG",5.93,5.6,0.33,"IL2RG",32
"TNFRSF9",5.44,5.14,0.300000000000001,"TNFRSF9",33
"RBPJ",5.88,5.58,0.3,"RBPJ",34
"F5",2.33,2.05,0.28,"F5",35
"PHLDA1",5.41,5.14,0.27,"PHLDA1",36
"PLAGL2",2.75,2.48,0.27,"PLAGL2",37
"VAT1L",0.55,0.28,0.27,"VAT1L",38
"TSPAN5",3.4,3.14,0.26,"TSPAN5",39
"ATXN1",4.44,4.19,0.25,"ATXN1",40
"IL26",0.79,0.54,0.25,"IL26",41
"CD27",4.91,4.67,0.24,"CD27",42
"DUSP16",5.28,5.04,0.24,"DUSP16",43
"ARNTL",2.61,2.37,0.24,"ARNTL",44
"NUDT5",2.98,2.75,0.23,"NUDT5",45
"SLC41A1",2.27,2.04,0.23,"SLC41A1",46
"IL21R",4.12,3.9,0.22,"IL21R",47
"NHS",1.1,0.89,0.21,"NHS",48
"TMPRSS3",0.91,0.7,0.21,"TMPRSS3",49
"GBP2",4.47,4.26,0.21,"GBP2",50
"PARK7",5.2,5,0.2,"PARK7",51
"IGFL2",0.74,0.54,0.2,"IGFL2",52
"SOD1",6.1,5.9,0.199999999999999,"SOD1",53
"STK16",1.58,1.4,0.18,"STK16",54
"ZNF613",1.07,0.89,0.18,"ZNF613",55
"COX7A2",4.94,4.77,0.170000000000001,"COX7A2",56
"LTA",1.86,1.69,0.17,"LTA",57
"IFT27",1.9,1.73,0.17,"IFT27",58
"SIT1",3.16,2.99,0.17,"SIT1",59
"ASXL2",4.54,4.38,0.16,"ASXL2",60
"FGFRL1",1.5,1.34,0.16,"FGFRL1",61
"CDK6",2.99,2.84,0.15,"CDK6",62
"FTSJ3",2.12,1.97,0.15,"FTSJ3",63
"SLC16A11",0.34,0.19,0.15,"SLC16A11",64
"SEC11C",3.11,2.96,0.15,"SEC11C",65
"HINT2",1.4,1.26,0.14,"HINT2",66
"DGKH",3.26,3.12,0.14,"DGKH",67
"CARD17",0.5,0.37,0.13,"CARD17",68
"SLC5A3",3.8,3.67,0.13,"SLC5A3",69
"MPHOSPH10",2.21,2.09,0.12,"MPHOSPH10",70
"TRIM41",3.24,3.12,0.12,"TRIM41",71
"C20orf196",1.13,1.01,0.12,"C20orf196",72
"FAM222B",2.14,2.03,0.11,"FAM222B",73
"SARDH",2.01,1.9,0.11,"SARDH",74
"UBC",7.26,7.15,0.109999999999999,"UBC",75
"AGFG1",3.62,3.52,0.1,"AGFG1",76
"ANKS1B",2.88,2.78,0.1,"ANKS1B",77
"PMVK",2.88,2.78,0.1,"PMVK",78
"TRAF3IP3",3.44,3.34,0.1,"TRAF3IP3",79
"GYPC",4.22,4.12,0.0999999999999996,"GYPC",80
"MRPS6",4.15,4.06,0.0900000000000007,"MRPS6",81
"CAB39",3.41,3.32,0.0900000000000003,"CAB39",82
"C15orf62",0.25,0.16,0.09,"C15orf62",83
"BATF",3.79,3.71,0.0800000000000001,"BATF",84
"NMB",2.94,2.86,0.0800000000000001,"NMB",85
"S100A4",5.84,5.76,0.0800000000000001,"S100A4",86
"SAR1B",3.12,3.04,0.0800000000000001,"SAR1B",87
"TATDN2",2.46,2.38,0.0800000000000001,"TATDN2",88
"TMEM248",4.13,4.05,0.0800000000000001,"TMEM248",89
"B3GALT6",1.94,1.86,0.0799999999999998,"B3GALT6",90
"PCED1B",3.01,2.93,0.0799999999999996,"PCED1B",91
"TBL1XR1",4.01,3.93,0.0799999999999996,"TBL1XR1",92
"GATA3",5.08,5.01,0.0700000000000003,"GATA3",93
"LFNG",2.49,2.42,0.0700000000000003,"LFNG",94
"RGS1",8.31,8.24,0.0700000000000003,"RGS1",95
"MUC22",0.27,0.2,0.07,"MUC22",96
"OR13H1",0.12,0.05,0.07,"OR13H1",97
"BARD1",2.34,2.27,0.0699999999999998,"BARD1",98
"CISD2",3.4,3.33,0.0699999999999998,"CISD2",99
"SF3B3",3.17,3.1,0.0699999999999998,"SF3B3",100
"FOXO1",4.48,4.42,0.0600000000000005,"FOXO1",101
"C6orf89",3.1,3.04,0.0600000000000001,"C6orf89",102
"EML2",2.6,2.54,0.0600000000000001,"EML2",103
"DOK5",0.41,0.35,0.06,"DOK5",104
