"","min_2","max_other","target_score","gene","rank"
"PDCD1","2.84","3.39","-0.55","PDCD1","5998"
"CTLA4","5.53","3.95","1.58","CTLA4","3"
"number of valid genes","18189","---","---","---","---"
"---","---","---","---","---","---"
"CXCL13","5.64","3.29","2.35","CXCL13","1"
"GNG4","2.58","0.94","1.64","GNG4","2"
"CTLA41","5.53","3.95","1.58","CTLA4","3"
"ZBED2","2.69","1.38","1.31","ZBED2","4"
"LAYN","4.08","2.89","1.19","LAYN","5"
"IKZF4","3.07","1.94","1.13","IKZF4","6"
"TIGIT","5.99","4.86","1.13","TIGIT","7"
"GEM","4.87","3.86","1.01","GEM","8"
"CXCR6","5.1","4.09","1.01","CXCR6","9"
"PHEX","1.54","0.67","0.87","PHEX","10"
"MYO7A","2.8","1.98","0.82","MYO7A","11"
"RDH10","3.26","2.44","0.82","RDH10","12"
"DNPH1","3.89","3.14","0.75","DNPH1","13"
"ZNF282","3.42","2.67","0.75","ZNF282","14"
"NEBL","1.56","0.82","0.74","NEBL","15"
"GCNT1","2.49","1.85","0.64","GCNT1","16"
"SNAP47","2.16","1.62","0.54","SNAP47","17"
"LAIR2","1.61","1.1","0.51","LAIR2","18"
"PRDM1","5.29","4.79","0.5","PRDM1","19"
"PTPRJ","3.78","3.33","0.45","PTPRJ","20"
"HTATSF1","2.94","2.5","0.44","HTATSF1","21"
"HIVEP3","2.92","2.49","0.43","HIVEP3","22"
"SYT11","3.77","3.35","0.42","SYT11","23"
"PARD6G","2.29","1.9","0.39","PARD6G","24"
"SIRPG","3.54","3.15","0.39","SIRPG","25"
"CD2","6.01","5.63","0.38","CD2","26"
"ZC3H12C","1.68","1.3","0.38","ZC3H12C","27"
"CACYBP","5","4.63","0.37","CACYBP","28"
"MICAL2","3.48","3.12","0.36","MICAL2","29"
"GLCCI1","4.79","4.45","0.34","GLCCI1","30"
"SNX9","5.05","4.71","0.34","SNX9","31"
"IL2RG","5.93","5.6","0.33","IL2RG","32"
"TNFRSF9","5.44","5.14","0.300000000000001","TNFRSF9","33"
"RBPJ","5.88","5.58","0.3","RBPJ","34"
"F5","2.33","2.05","0.28","F5","35"
"PHLDA1","5.41","5.14","0.27","PHLDA1","36"
