"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","CAF","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Endothelial","Macrophage M1","Macrophage M2","Macrophage other","Mast","Neutrophil","NK","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","CACYBP","CACYBP","5","4.63","0.37","28","3.96","3.85","3.80","3.96","2.70","3.84","3.59","3.63","3.33","3.99","3.38","3.52","3.63","2.30","4.63","3.45","4.46","4.11","4.54","5.00","0.00","4.20","4.58","4.53","4.29","5.11"
"4","CD2","CD2","6.01","5.63","0.38","26","1.55","0.39","0.24","0.27","0.36","0.33","3.01","0.00","0.96","0.47","0.68","1.05","0.96","0.22","4.48","5.32","5.62","5.45","5.50","6.01","0.00","5.45","5.63","5.54","5.50","6.09"
"5","CTLA4","CTLA4","5.53","3.95","1.58","3","0.96","0.94","1.17","0.53","0.26","0.82","0.05","0.55","0.23","0.45","0.49","0.67","0.49","0.00","1.76","1.56","2.91","1.05","3.95","5.53","0.00","3.58","3.32","3.54","3.65","5.90"
"6","CTLA4","CTLA41","5.53","3.95","1.58","3","0.96","0.94","1.17","0.53","0.26","0.82","0.05","0.55","0.23","0.45","0.49","0.67","0.49","0.00","1.76","1.56","2.91","1.05","3.95","5.53","0.00","3.58","3.32","3.54","3.65","5.90"
"7","CXCL13","CXCL13","5.64","3.29","2.35","1","0.50","0.00","0.03","1.06","2.27","0.00","1.87","2.70","0.48","0.65","0.31","0.99","0.23","0.09","0.81","0.56","0.98","0.00","3.29","5.64","0.00","2.53","2.13","2.65","2.23","6.50"
"8","CXCR6","CXCR6","5.1","4.09","1.01","9","0.31","0.34","0.11","0.28","0.26","0.00","0.58","0.00","0.00","0.34","0.18","0.28","0.73","0.17","2.95","0.00","2.59","2.04","4.09","5.48","0.00","1.23","3.56","3.12","2.23","5.10"
"9","DNPH1","DNPH1","3.89","3.14","0.75","13","3.14","2.69","2.66","2.46","2.64","2.06","1.57","1.32","1.83","2.66","2.74","2.93","1.66","0.66","2.00","2.57","2.80","2.15","2.86","4.13","0.00","1.67","2.25","2.72","2.46","3.89"
"10","F5","F5","2.33","2.05","0.28","35","0.49","0.00","0.00","0.41","0.43","0.00","0.15","0.00","0.00","0.50","0.23","0.22","0.27","1.66","0.00","0.00","0.98","0.00","0.48","2.33","0.00","1.20","0.24","2.05","1.25","3.08"
"11","GCNT1","GCNT1","2.49","1.85","0.64","16","0.45","0.87","0.24","0.09","0.46","0.40","1.78","0.39","0.69","1.39","1.84","1.34","0.92","0.63","1.83","0.00","1.23","1.43","1.85","2.49","0.00","0.32","1.02","0.69","1.69","2.59"
"12","GEM","GEM","4.87","3.86","1.01","8","0.81","2.24","2.22","1.80","5.75","0.59","3.17","2.97","1.68","3.23","3.01","3.23","2.22","0.33","3.86","2.72","2.42","3.17","2.32","5.38","0.00","2.59","2.46","2.57","2.83","4.87"
"13","GLCCI1","GLCCI1","4.79","4.45","0.34","30","3.11","2.92","2.85","2.72","0.90","1.13","1.17","0.54","0.58","1.40","1.52","1.32","1.72","1.66","4.45","2.70","4.28","3.85","4.39","4.79","0.00","4.23","3.85","3.75","4.23","5.56"
"14","GNG4","GNG4","2.58","0.94","1.64","2","0.00","0.20","0.15","0.42","0.19","0.35","0.82","0.32","0.38","0.49","0.16","0.31","0.20","0.19","0.38","0.00","0.84","0.00","0.79","2.58","0.00","0.79","0.53","0.94","0.76","3.10"
"15","HIVEP3","HIVEP3","2.92","2.49","0.43","22","1.13","1.60","1.49","1.61","1.85","1.54","1.22","0.89","1.16","1.44","1.19","1.24","0.45","0.42","2.11","1.26","1.95","0.00","2.49","3.59","0.00","1.51","1.75","2.07","1.48","2.92"
"16","HTATSF1","HTATSF1","2.94","2.5","0.44","21","1.33","1.70","1.97","2.03","2.53","2.40","2.50","0.42","1.92","1.83","1.52","1.72","2.22","1.05","2.31","1.39","2.29","1.93","2.37","3.03","0.00","2.08","2.31","2.30","2.23","2.94"
"17","IKZF4","IKZF4","3.07","1.94","1.13","6","0.55","0.58","0.67","0.42","0.88","0.92","1.29","0.47","0.58","0.75","0.81","0.93","0.33","0.18","0.82","1.26","1.06","0.00","0.75","3.07","0.00","1.68","1.15","1.63","1.94","3.46"
"18","IL2RG","IL2RG","5.93","5.6","0.33","32","4.41","4.42","4.35","4.18","0.88","3.31","5.14","5.03","1.03","3.69","2.80","3.25","3.32","5.52","5.60","4.31","5.26","4.61","5.47","6.04","0.00","5.43","5.43","5.31","5.24","5.93"
"19","LAIR2","LAIR2","1.61","1.1","0.51","18","0.00","0.00","0.08","0.00","0.00","0.00","0.28","0.00","0.63","0.20","0.10","0.26","0.00","0.25","1.10","0.00","0.41","0.94","0.59","1.61","0.00","0.41","0.59","0.25","0.71","2.16"
"20","LAYN","LAYN","4.08","2.89","1.19","5","0.44","0.84","0.67","1.06","2.00","0.00","0.63","0.49","2.89","0.48","0.48","0.49","0.42","0.33","2.02","0.00","1.45","1.71","1.41","4.58","0.00","1.31","1.12","1.24","1.11","4.08"
"21","MICAL2","MICAL2","3.48","3.12","0.36","29","0.68","1.42","1.04","0.57","4.60","0.30","1.91","2.11","1.94","1.66","2.26","1.91","2.06","1.63","3.12","0.00","2.73","2.96","3.01","3.48","0.00","2.04","2.31","3.12","1.22","3.58"
"22","MYO7A","MYO7A","2.8","1.98","0.82","11","0.00","0.73","0.49","0.50","0.28","0.00","0.11","1.11","0.00","1.78","2.42","1.84","1.57","0.58","1.51","1.82","0.44","1.02","1.98","4.98","0.00","0.68","1.37","1.38","0.92","2.80"
"23","NEBL","NEBL","1.56","0.82","0.74","15","0.65","0.18","0.22","0.31","1.32","0.31","0.07","0.00","0.00","0.24","0.37","0.43","0.47","0.42","0.29","0.00","0.17","0.30","0.82","1.56","0.00","0.19","0.38","0.13","0.67","1.70"
