"","min_2","max_other","target_score","gene","rank"
"LAYN",2.69,1.08,1.61,"LAYN",1
"TNFRSF9",4.97,3.64,1.33,"TNFRSF9",2
"UBASH3B",2.85,1.85,1,"UBASH3B",3
"PHLDA1",4.78,3.93,0.85,"PHLDA1",4
"SIRPG",4.44,3.66,0.78,"SIRPG",5
"TNFRSF1B",5.18,4.57,0.609999999999999,"TNFRSF1B",6
"MAP1LC3A",2.42,1.88,0.54,"MAP1LC3A",7
"CDKN2A",2.84,2.32,0.52,"CDKN2A",8
"TRIM69",3.13,2.63,0.5,"TRIM69",9
"PGAM1",5.04,4.55,0.49,"PGAM1",10
"GBP5",4.5,4.02,0.48,"GBP5",11
"PARK7",5.79,5.35,0.44,"PARK7",12
"AKAP5",3.09,2.67,0.42,"AKAP5",13
"CCND2",4.48,4.09,0.390000000000001,"CCND2",14
"PRKAR1B",1.73,1.34,0.39,"PRKAR1B",15
"PCED1B",3.09,2.7,0.39,"PCED1B",16
"BARD1",2.12,1.74,0.38,"BARD1",17
"PARD6G",0.8,0.42,0.38,"PARD6G",18
"MAP2K3",3.47,3.1,0.37,"MAP2K3",19
"NUDT5",3.6,3.25,0.35,"NUDT5",20
"IL2RG",6.11,5.8,0.31,"IL2RG",21
"AFAP1L2",1.32,1.02,0.3,"AFAP1L2",22
"PTPRA",3.73,3.43,0.3,"PTPRA",23
"HIVEP3",2.3,2.01,0.29,"HIVEP3",24
"CPNE2",1.7,1.41,0.29,"CPNE2",25
"TMX1",3.54,3.26,0.28,"TMX1",26
"POLG",2.29,2.01,0.28,"POLG",27
"CD3D",7.26,6.98,0.279999999999999,"CD3D",28
"CDKN2B",0.96,0.69,0.27,"CDKN2B",29
"GALM",4.06,3.8,0.26,"GALM",30
"CHMP1A",2.73,2.47,0.26,"CHMP1A",31
"FUBP1",3.82,3.57,0.25,"FUBP1",32
"ACTN4",4.17,3.92,0.25,"ACTN4",33
"BTG3",4.08,3.83,0.25,"BTG3",34
"MDH1",4.06,3.81,0.25,"MDH1",35
"HLA.A",9.25,9.01,0.24,"HLA.A",36
"CCDC91",3.41,3.17,0.24,"CCDC91",37
"CISD3",3.23,2.99,0.24,"CISD3",38
"PDZD11",2.64,2.41,0.23,"PDZD11",39
"CLSTN1",2.85,2.63,0.22,"CLSTN1",40
"PSMC5",4.11,3.89,0.22,"PSMC5",41
"LCK",5.81,5.59,0.22,"LCK",42
"PSMB8",5.36,5.15,0.21,"PSMB8",43
"TRPS1",2.92,2.71,0.21,"TRPS1",44
"TRAPPC4",3.26,3.05,0.21,"TRAPPC4",45
"C14orf119",3.19,2.98,0.21,"C14orf119",46
"STAT5A",2.58,2.37,0.21,"STAT5A",47
"DYNLRB1",4.33,4.12,0.21,"DYNLRB1",48
"GAPDH",8.11,7.9,0.209999999999999,"GAPDH",49
"GBP3",2.87,2.67,0.2,"GBP3",50
"BLZF1",1.76,1.56,0.2,"BLZF1",51
"TSPAN17",2.88,2.68,0.2,"TSPAN17",52
"BARX2",0.36,0.17,0.19,"BARX2",53
"SNX14",2.67,2.48,0.19,"SNX14",54
"TSG101",3.21,3.02,0.19,"TSG101",55
"RASGRP1",3.82,3.63,0.19,"RASGRP1",56
"ORMDL3",3.39,3.2,0.19,"ORMDL3",57
"HNRNPA3",5.51,5.32,0.19,"HNRNPA3",58
"CCNDBP1",4.36,4.18,0.180000000000001,"CCNDBP1",59
"CALM3",5.11,4.93,0.180000000000001,"CALM3",60
"HAT1",2.98,2.8,0.18,"HAT1",61
"LPXN",3.68,3.5,0.18,"LPXN",62
"AP2B1",3.91,3.73,0.18,"AP2B1",63
"DGCR2",1.91,1.73,0.18,"DGCR2",64
"ESYT1",3.05,2.87,0.18,"ESYT1",65
"LYPLA2",2.74,2.57,0.17,"LYPLA2",66
"MED4",3.95,3.78,0.17,"MED4",67
"REEP2",0.66,0.49,0.17,"REEP2",68
"GBP2",5.29,5.12,0.17,"GBP2",69
"PSMA5",4.31,4.14,0.17,"PSMA5",70
"TXNDC9",2.76,2.59,0.17,"TXNDC9",71
"TIGIT",5.75,5.58,0.17,"TIGIT",72
"SH3KBP1",5.07,4.9,0.17,"SH3KBP1",73
"IL32",8.32,8.15,0.17,"IL32",74
"IGFLR1",3.92,3.75,0.17,"IGFLR1",75
"SIT1",4.53,4.37,0.16,"SIT1",76
"AMIGO2",1.82,1.66,0.16,"AMIGO2",77
"HNRNPM",5.24,5.08,0.16,"HNRNPM",78
"MAP3K6",1.05,0.89,0.16,"MAP3K6",79
"CBFB",2.88,2.72,0.16,"CBFB",80
"BUB3",4.81,4.65,0.159999999999999,"BUB3",81
"HNRNPR",4.57,4.42,0.15,"HNRNPR",82
"RAB33A",1.92,1.77,0.15,"RAB33A",83
"GLUD1",3.14,2.99,0.15,"GLUD1",84
"GIPC1",1.77,1.62,0.15,"GIPC1",85
"CAPZA1",5.1,4.95,0.149999999999999,"CAPZA1",86
"RASSF5",4.14,3.99,0.149999999999999,"RASSF5",87
"PMF1",3.71,3.57,0.14,"PMF1",88
"TMEM9B",3.67,3.53,0.14,"TMEM9B",89
"FERMT3",3.99,3.85,0.14,"FERMT3",90
"RAB43",0.29,0.15,0.14,"RAB43",91
"SS18L2",3.93,3.8,0.13,"SS18L2",92
"FAF2",2.39,2.26,0.13,"FAF2",93
"RGPD2",0.96,0.83,0.13,"RGPD2",94
"IKBKE",2.21,2.08,0.13,"IKBKE",95
"NAB1",2.79,2.66,0.13,"NAB1",96
"TSC22D4",3.98,3.85,0.13,"TSC22D4",97
"MICAL2",1.67,1.54,0.13,"MICAL2",98
"LAIR2",3,2.87,0.13,"LAIR2",99
"CXCR6",4.88,4.76,0.12,"CXCR6",100
"IP6K1",2.1,1.98,0.12,"IP6K1",101
"PAQR4",1.32,1.2,0.12,"PAQR4",102
"C19orf12",2.18,2.06,0.12,"C19orf12",103
"KLHDC7B",1.31,1.19,0.12,"KLHDC7B",104
"PROB1",0.45,0.33,0.12,"PROB1",105
"OLFM2",1.04,0.92,0.12,"OLFM2",106
"CXCR3",4.02,3.9,0.12,"CXCR3",107
"CCT3",3.93,3.82,0.11,"CCT3",108
"PPP4C",4.12,4.01,0.11,"PPP4C",109
"UNC13D",2.66,2.55,0.11,"UNC13D",110
"RNF213",6.07,5.96,0.11,"RNF213",111
"PSMA7",5.73,5.62,0.11,"PSMA7",112
"PLCXD2",1.07,0.96,0.11,"PLCXD2",113
"ANKS1B",1.59,1.48,0.11,"ANKS1B",114
"PABPC1L",0.85,0.74,0.11,"PABPC1L",115
"MAPKAPK3",3.02,2.91,0.11,"MAPKAPK3",116
"TEX264",3.28,3.17,0.11,"TEX264",117
"STIP1",3.35,3.24,0.11,"STIP1",118
"NUP37",2.05,1.94,0.11,"NUP37",119
"TDG",3.44,3.33,0.11,"TDG",120
"ALDH3A2",2.5,2.39,0.11,"ALDH3A2",121
"ARF6",5.35,5.24,0.109999999999999,"ARF6",122
