"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Macrophage M1","Macrophage M2","Macrophage other","Mast","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","AFAP1L2","AFAP1L2","1.32","1.02","0.3","22","0.43","0.00","0.65","0.35","0.00","0.02","0.00","0.13","0.01","0.00","0.00","1.02","0.34","0.21","0.46","0.80","0.59","2.07","0.93","0.24","0.37","0.00","0.00","1.32"
"4","AKAP5","AKAP5","3.09","2.67","0.42","13","1.12","0.00","1.35","1.78","0.35","0.13","0.00","0.23","0.03","0.08","1.71","1.87","0.99","0.60","1.12","1.91","1.59","4.15","2.67","1.59","2.08","1.35","0.74","3.09"
"5","BARD1","BARD1","2.12","1.74","0.38","17","1.72","1.38","0.89","1.05","1.36","1.01","0.45","0.98","0.84","0.40","1.27","1.19","1.47","1.01","0.91","0.86","1.74","2.17","1.42","1.51","0.88","0.93","1.37","2.12"
"6","CCND2","CCND2","4.48","4.09","0.390000000000001","14","2.45","1.26","2.45","2.15","0.27","2.17","2.04","1.47","1.24","1.36","2.48","3.51","3.94","3.37","3.69","3.53","3.62","4.48","3.42","3.30","4.00","4.09","3.66","5.00"
"7","CD3D","CD3D","7.26","6.98","0.279999999999999","28","2.83","1.59","1.07","1.56","1.66","1.46","0.87","2.41","0.73","1.76","2.70","4.22","3.68","6.68","6.76","6.45","6.98","7.58","6.68","6.85","6.79","6.78","6.90","7.26"
"8","CDKN2A","CDKN2A","2.84","2.32","0.52","8","1.12","0.00","0.19","0.99","0.64","0.14","0.14","1.86","0.16","0.35","0.64","1.24","2.21","1.36","1.65","2.00","2.32","3.01","2.05","1.66","1.56","1.71","1.74","2.84"
"9","CDKN2B","CDKN2B","0.96","0.69","0.27","29","0.00","0.00","0.00","0.00","0.06","0.06","0.59","0.20","0.37","0.19","0.00","0.23","0.03","0.33","0.44","0.26","0.23","0.96","0.00","0.69","0.44","0.00","0.41","1.06"
"10","CHMP1A","CHMP1A","2.73","2.47","0.26","31","2.11","2.47","1.97","1.78","1.62","1.44","2.12","1.82","1.76","1.78","1.23","2.16","1.62","1.94","2.11","2.00","2.42","2.73","1.50","2.39","2.09","2.18","1.17","2.85"
"11","CPNE2","CPNE2","1.7","1.41","0.29","25","0.00","0.00","0.00","0.00","0.34","0.30","1.23","1.34","0.95","1.41","0.69","0.07","0.29","0.47","1.36","0.24","1.31","1.70","0.91","1.21","1.33","1.33","1.20","1.97"
"12","CTLA4","CTLA4","3.79","3.86","-0.0699999999999998","1572","0.14","0.00","0.00","0.37","0.44","0.56","0.68","0.76","0.23","0.19","1.77","0.37","1.12","1.58","0.84","0.29","2.03","3.79","2.51","3.86","2.84","2.66","3.75","5.34"
"13","GALM","GALM","4.06","3.8","0.26","30","1.72","0.90","1.83","1.06","1.92","2.14","0.37","1.99","2.62","1.81","2.13","2.09","2.42","3.46","3.14","2.83","3.80","4.06","3.79","3.75","3.73","3.77","3.66","4.26"
"14","GBP5","GBP5","4.5","4.02","0.48","11","2.85","1.59","1.72","2.39","0.69","1.88","1.66","3.30","2.24","2.08","1.17","2.89","3.12","3.44","3.60","3.09","3.95","4.50","3.92","4.02","3.79","3.66","3.60","5.36"
"15","HIVEP3","HIVEP3","2.3","2.01","0.29","24","1.60","0.73","1.45","1.55","1.12","0.72","0.23","1.04","0.66","0.93","0.86","1.87","0.82","1.52","1.24","1.64","1.41","2.30","1.86","2.01","1.88","1.42","1.69","2.39"
"16","IL2RG","IL2RG","6.11","5.8","0.31","21","5.12","4.75","4.62","4.77","3.35","3.99","4.96","3.35","2.75","2.74","4.35","5.72","5.10","5.71","5.79","5.72","5.80","6.11","5.54","5.64","5.79","5.79","5.54","6.52"
"17","LAYN","LAYN","2.69","1.08","1.61","1","0.39","0.00","0.00","0.20","0.00","0.37","0.29","0.56","0.03","0.00","0.00","0.50","0.57","0.27","0.62","0.46","0.67","2.69","0.62","0.53","0.69","1.08","0.86","4.34"
"18","MAP1LC3A","MAP1LC3A","2.42","1.88","0.54","7","0.91","0.00","1.28","1.39","0.87","0.80","1.30","1.68","0.91","0.97","1.13","1.47","0.98","1.43","1.12","1.35","1.45","2.42","1.88","1.73","1.51","1.14","1.30","2.97"
"19","MAP2K3","MAP2K3","3.47","3.1","0.37","19","2.79","2.28","2.48","2.52","2.23","2.35","0.85","2.23","1.98","2.69","2.63","3.10","2.56","2.65","2.66","2.88","2.99","3.47","2.43","2.98","2.71","2.77","2.81","3.65"
"20","NUDT5","NUDT5","3.6","3.25","0.35","20","2.27","2.06","2.18","1.86","2.92","2.72","1.98","2.63","2.39","2.57","2.67","2.78","2.88","2.75","2.75","2.75","2.99","3.60","3.16","3.25","2.81","3.02","3.02","3.76"
"21","PARD6G","PARD6G","0.8","0.42","0.38","18","0.00","0.00","0.00","0.00","0.00","0.02","0.11","0.15","0.00","0.00","0.00","0.06","0.20","0.15","0.36","0.34","0.42","0.80","0.32","0.00","0.16","0.00","0.00","1.10"
"22","PARK7","PARK7","5.79","5.35","0.44","12","4.27","4.44","4.55","4.13","5.17","5.24","5.35","4.96","4.84","5.00","4.79","4.90","5.25","4.63","4.82","5.05","5.34","5.91","4.96","5.30","5.13","4.85","4.86","5.79"
"23","PCED1B","PCED1B","3.09","2.7","0.39","16","1.76","0.00","1.53","2.38","0.05","0.71","0.48","0.62","0.47","0.39","0.49","1.35","2.41","2.03","1.91","1.58","2.15","3.16","2.30","2.70","2.50","2.19","1.73","3.09"
"24","PDCD1","PDCD1","2.57","4.09","-1.52","13644","0.00","0.00","0.00","0.12","0.95","0.35","0.21","0.43","0.12","0.94","0.79","0.33","1.24","2.21","2.11","1.43","3.61","5.18","3.38","4.09","3.50","2.42","3.37","2.57"
"25","PGAM1","PGAM1","5.04","4.55","0.49","10","3.61","2.25","3.86","3.35","4.25","4.18","3.86","4.16","3.87","4.21","4.03","3.94","4.24","3.94","3.94","3.97","4.51","5.04","3.23","4.55","4.27","4.40","4.42","5.05"
"26","PHLDA1","PHLDA1","4.78","3.93","0.85","4","1.59","0.30","0.53","0.96","1.11","1.66","2.02","2.68","2.72","3.35","3.68","3.90","2.04","3.93","3.78","3.79","3.37","4.78","3.67","2.53","3.74","3.83","3.80","5.51"
