"","min_2","max_other","target_score","gene","rank"
"TNFRSF9",3.76,2.98,0.78,"TNFRSF9",1
"JAKMIP1",2.93,2.26,0.67,"JAKMIP1",2
"TNIP3",2.88,2.28,0.6,"TNIP3",3
"CXCR6",6.76,6.23,0.529999999999999,"CXCR6",4
"SALL4",0.44,0.15,0.29,"SALL4",5
"WNT6",0.31,0.02,0.29,"WNT6",6
"FNDC7",0.33,0.11,0.22,"FNDC7",7
"PTTG2",0.26,0.04,0.22,"PTTG2",8
"TNS4",0.39,0.19,0.2,"TNS4",9
"SLC27A2",1.85,1.66,0.19,"SLC27A2",10
"GCNT1",1.43,1.28,0.15,"GCNT1",11
"PGPEP1L",0.18,0.05,0.13,"PGPEP1L",12
"TIGD4",0.27,0.15,0.12,"TIGD4",13
"SP6",0.19,0.07,0.12,"SP6",14
"SLC25A44",2.02,1.91,0.11,"SLC25A44",15
"EFCAB6",0.15,0.04,0.11,"EFCAB6",16
"HLA.E",8.82,8.73,0.0899999999999999,"HLA.E",17
"LCE3E",0.07,0,0.07,"LCE3E",18
"CHAT",0.1,0.03,0.07,"CHAT",19
"PRKAR1B",1.52,1.46,0.0600000000000001,"PRKAR1B",20
"XKR9",0.15,0.09,0.06,"XKR9",21
"RPGRIP1L",0.26,0.2,0.06,"RPGRIP1L",22
"INSRR",0.09,0.04,0.05,"INSRR",23
"CD7",3.54,3.49,0.0499999999999998,"CD7",24
"ADAT1",2.4,2.36,0.04,"ADAT1",25
"TPPP",0.16,0.12,0.04,"TPPP",26
"ARSH",0.06,0.03,0.03,"ARSH",27
"NRG3",0.03,0,0.03,"NRG3",28
"MED24",2.26,2.23,0.0299999999999998,"MED24",29
"DUSP10",4.64,4.61,0.0299999999999994,"DUSP10",30
"ARHGAP4",3.71,3.69,0.02,"ARHGAP4",31
"ORMDL3",2.09,2.07,0.02,"ORMDL3",32
"ARHGEF4",0.11,0.09,0.02,"ARHGEF4",33
"LRRTM4",0.02,0,0.02,"LRRTM4",34
"EEF1A2",0.02,0,0.02,"EEF1A2",35
"TP53AIP1",0.03,0.01,0.02,"TP53AIP1",36
"PPP1R2P3",0.34,0.33,0.01,"PPP1R2P3",37
"ZNF888",0.16,0.15,0.01,"ZNF888",38
"GJB4",0.01,0,0.01,"GJB4",39
"TBR1",0.02,0.01,0.01,"TBR1",40
"NKAIN3",0.02,0.01,0.01,"NKAIN3",41
"PAX9",0.02,0.01,0.01,"PAX9",42
"CEACAM20",0.02,0.01,0.01,"CEACAM20",43
"SPACA4",0.01,0,0.01,"SPACA4",44
"ZSCAN4",0.01,0,0.01,"ZSCAN4",45
"KRTAP10.4",0.02,0.01,0.01,"KRTAP10.4",46
"KRTAP10.7",0.01,0,0.01,"KRTAP10.7",47
"TSPYL6",0.06,0.05,0.01,"TSPYL6",48
"USP25",2.09,2.08,0.00999999999999979,"USP25",49
"CYP4B1",0.06,0.06,0,"CYP4B1",50
"LDLRAD1",0,0,0,"LDLRAD1",51
"LRRC53",0,0,0,"LRRC53",52
"NBPF4",0,0,0,"NBPF4",53
"UBL4B",0,0,0,"UBL4B",54
"PROK1",0,0,0,"PROK1",55
"LCE4A",0,0,0,"LCE4A",56
"LCE1D",0,0,0,"LCE1D",57
"SMCP",0,0,0,"SMCP",58
"SPRR1B",0,0,0,"SPRR1B",59
"VHLL",0,0,0,"VHLL",60
"LMX1A",0,0,0,"LMX1A",61
"FAM163A",0,0,0,"FAM163A",62
"ASCL5",0,0,0,"ASCL5",63
"FCAMR",0,0,0,"FCAMR",64
"OR6F1",0,0,0,"OR6F1",65
"NMS",0,0,0,"NMS",66
"SLC5A7",0,0,0,"SLC5A7",67
"IL37",0,0,0,"IL37",68
"RESP18",0,0,0,"RESP18",69
"CCDC140",0,0,0,"CCDC140",70
"PRLH",0,0,0,"PRLH",71
"ROPN1",0,0,0,"ROPN1",72
"ABTB1",2.46,2.46,0,"ABTB1",73
"TRIM42",0,0,0,"TRIM42",74
"NAT8L",0,0,0,"NAT8L",75
"CSN3",0,0,0,"CSN3",76
"GIMD1",0,0,0,"GIMD1",77
"TKTL2",0,0,0,"TKTL2",78
"ZFP42",0,0,0,"ZFP42",79
"CDH18",0,0,0,"CDH18",80
"MCIDAS",0,0,0,"MCIDAS",81
"FTMT",0,0,0,"FTMT",82
"GPR151",0,0,0,"GPR151",83
"C5orf52",0,0,0,"C5orf52",84
"FBLL1",0,0,0,"FBLL1",85
"RP11.546B8.6",0,0,0,"RP11.546B8.6",86
"TRIM40",0,0,0,"TRIM40",87
"PSORS1C2",0,0,0,"PSORS1C2",88
"XXbac.BPG32J3.19",0,0,0,"XXbac.BPG32J3.19",89
"LY6G6D",0,0,0,"LY6G6D",90
"MLN",0,0,0,"MLN",91
"MDFI",0,0,0,"MDFI",92
"RP1.302G2.5",0,0,0,"RP1.302G2.5",93
"PRDM13",0,0,0,"PRDM13",94
"TAAR1",0,0,0,"TAAR1",95
"ELFN1",0,0,0,"ELFN1",96
"FERD3L",0,0,0,"FERD3L",97
"FZD9",0,0,0,"FZD9",98
"PRSS58",0,0,0,"PRSS58",99
"NLGN4X",0.01,0.01,0,"NLGN4X",100
"FAM9A",0,0,0,"FAM9A",101
"ATXN3L",0,0,0,"ATXN3L",102
"MAGEB10",0,0,0,"MAGEB10",103
"MAGEB4",0,0,0,"MAGEB4",104
"SPACA5B",0,0,0,"SPACA5B",105
"GAGE12H",0,0,0,"GAGE12H",106
"SLC7A3",0,0,0,"SLC7A3",107
"DMRTC1B",0,0,0,"DMRTC1B",108
"NAP1L6",0,0,0,"NAP1L6",109
"POU3F4",0,0,0,"POU3F4",110
"LRCH2",0,0,0,"LRCH2",111
"MAGEA10",0,0,0,"MAGEA10",112
"TEX28",0,0,0,"TEX28",113
"DEFB107B",0,0,0,"DEFB107B",114
"DEFB136",0,0,0,"DEFB136",115
"DEFB135",0,0,0,"DEFB135",116
"GDF6",0,0,0,"GDF6",117
"IFNA13",0,0,0,"IFNA13",118
"IFNA8",0,0,0,"IFNA8",119
"IFNA1",0,0,0,"IFNA1",120
"ARID3C",0,0,0,"ARID3C",121
"FAM205A",0,0,0,"FAM205A",122
"C9orf57",0,0,0,"C9orf57",123
"OR13C4",0,0,0,"OR13C4",124
"MORN5",0,0,0,"MORN5",125
"OR1L8",0,0,0,"OR1L8",126
"NR5A1",0,0,0,"NR5A1",127
"PAEP",0,0,0,"PAEP",128
"LCN9",0,0,0,"LCN9",129
"LCNL1",0.01,0.01,0,"LCNL1",130
"KRTAP5.3",0,0,0,"KRTAP5.3",131
"C11orf40",0,0,0,"C11orf40",132
"OR51A4",0,0,0,"OR51A4",133
"OR52A5",0,0,0,"OR52A5",134
"OR51B6",0,0,0,"OR51B6",135
"OR51I2",0,0,0,"OR51I2",136
"RASSF10",0,0,0,"RASSF10",137
"KCNA4",0,0,0,"KCNA4",138
"ELF5",0,0,0,"ELF5",139
"ACCSL",0,0,0,"ACCSL",140
"OR4B1",0,0,0,"OR4B1",141
"OR4C3",0,0,0,"OR4C3",142
"OR8J3",0,0,0,"OR8J3",143
"OR8K5",0,0,0,"OR8K5",144
"OR5T2",0,0,0,"OR5T2",145
"OR9G1",0,0,0,"OR9G1",146
"PRG3",0,0,0,"PRG3",147
"OR1S2",0,0,0,"OR1S2",148
"OR4D11",0,0,0,"OR4D11",149
"MS4A5",0,0,0,"MS4A5",150
"SCGB1D1",0,0,0,"SCGB1D1",151
"CLDN25",0,0,0,"CLDN25",152
"OR6M1",0,0,0,"OR6M1",153
"OR6T1",0,0,0,"OR6T1",154
"SPATA19",0,0,0,"SPATA19",155
"NEBL",0.02,0.02,0,"NEBL",156
"EBLN1",0,0,0,"EBLN1",157
"GJD4",0,0,0,"GJD4",158
"EMX2",0,0,0,"EMX2",159
"KRT5",0,0,0,"KRT5",160
"KRT77",0,0,0,"KRT77",161
"NEUROD4",0,0,0,"NEUROD4",162
"OR6C3",0,0,0,"OR6C3",163
"OR6C2",0,0,0,"OR6C2",164
"HTR2A",0,0,0,"HTR2A",165
"SLITRK1",0,0,0,"SLITRK1",166
"SLC10A2",0,0,0,"SLC10A2",167
"SYNDIG1L",0,0,0,"SYNDIG1L",168
"MAGEL2",0,0,0,"MAGEL2",169
"CPLX3",0,0,0,"CPLX3",170
"UBE2Q2L",0.14,0.14,0,"UBE2Q2L",171
"ST8SIA2",0,0,0,"ST8SIA2",172
"FAM169B",0,0,0,"FAM169B",173
"SOX8",0,0,0,"SOX8",174
"CLEC3A",0,0,0,"CLEC3A",175
"FOXL1",0,0,0,"FOXL1",176
"OR1E1",0,0,0,"OR1E1",177
"YBX2",0,0,0,"YBX2",178
"C17orf74",0,0,0,"C17orf74",179
"GPR179",0,0,0,"GPR179",180
"KRT27",0,0,0,"KRT27",181
