"","min_2","max_other","target_score","gene","rank"
"PDCD1","4.71","6.6","-1.89","PDCD1","13278"
"CTLA4","5.12","6.26","-1.14","CTLA4","8713"
"number of valid genes","18412","---","---","---","---"
"---","---","---","---","---","---"
"TNFRSF9","3.76","2.98","0.78","TNFRSF9","1"
"JAKMIP1","2.93","2.26","0.67","JAKMIP1","2"
"TNIP3","2.88","2.28","0.6","TNIP3","3"
"CXCR6","6.76","6.23","0.529999999999999","CXCR6","4"
"SALL4","0.44","0.15","0.29","SALL4","5"
"WNT6","0.31","0.02","0.29","WNT6","6"
"FNDC7","0.33","0.11","0.22","FNDC7","7"
"PTTG2","0.26","0.04","0.22","PTTG2","8"
"TNS4","0.39","0.19","0.2","TNS4","9"
"SLC27A2","1.85","1.66","0.19","SLC27A2","10"
"GCNT1","1.43","1.28","0.15","GCNT1","11"
"PGPEP1L","0.18","0.05","0.13","PGPEP1L","12"
"TIGD4","0.27","0.15","0.12","TIGD4","13"
"SP6","0.19","0.07","0.12","SP6","14"
"SLC25A44","2.02","1.91","0.11","SLC25A44","15"
"EFCAB6","0.15","0.04","0.11","EFCAB6","16"
"HLA.E","8.82","8.73","0.0899999999999999","HLA.E","17"
"LCE3E","0.07","0","0.07","LCE3E","18"
"CHAT","0.1","0.03","0.07","CHAT","19"
"PRKAR1B","1.52","1.46","0.0600000000000001","PRKAR1B","20"
"XKR9","0.15","0.09","0.06","XKR9","21"
"RPGRIP1L","0.26","0.2","0.06","RPGRIP1L","22"
"INSRR","0.09","0.04","0.05","INSRR","23"
"CD7","3.54","3.49","0.0499999999999998","CD7","24"
"ADAT1","2.4","2.36","0.04","ADAT1","25"
"TPPP","0.16","0.12","0.04","TPPP","26"
"ARSH","0.06","0.03","0.03","ARSH","27"
"NRG3","0.03","0","0.03","NRG3","28"
"MED24","2.26","2.23","0.0299999999999998","MED24","29"
"DUSP10","4.64","4.61","0.0299999999999994","DUSP10","30"
"ARHGAP4","3.71","3.69","0.02","ARHGAP4","31"
"ORMDL3","2.09","2.07","0.02","ORMDL3","32"
"ARHGEF4","0.11","0.09","0.02","ARHGEF4","33"
"LRRTM4","0.02","0","0.02","LRRTM4","34"
"EEF1A2","0.02","0","0.02","EEF1A2","35"
"TP53AIP1","0.03","0.01","0.02","TP53AIP1","36"
