"","min_2","max_other","target_score","gene","rank"
"ACTA2",2.4,1.58,0.82,"ACTA2",1
"ARHGEF12",2.28,1.49,0.79,"ARHGEF12",2
"PTTG1",4.51,3.85,0.66,"PTTG1",3
"SIRPG",4.16,3.53,0.63,"SIRPG",4
"TNFRSF9",4.3,3.7,0.6,"TNFRSF9",5
"GCNT1",1.71,1.21,0.5,"GCNT1",6
"SGMS1",2.14,1.68,0.46,"SGMS1",7
"CD70",3.12,2.67,0.45,"CD70",8
"AKAP5",2.3,1.86,0.44,"AKAP5",9
"CALM3",5.24,4.81,0.430000000000001,"CALM3",10
"PRKAR1B",1.41,0.98,0.43,"PRKAR1B",11
"CXCR6",4.63,4.2,0.43,"CXCR6",12
"ZBED2",1.17,0.79,0.38,"ZBED2",13
"FDXR",1.62,1.25,0.37,"FDXR",14
"DHX57",1.52,1.16,0.36,"DHX57",15
"NUDT5",3.73,3.39,0.34,"NUDT5",16
"PARK7",5.78,5.46,0.32,"PARK7",17
"KIF20B",3.08,2.76,0.32,"KIF20B",18
"PRPF31",3.32,3,0.32,"PRPF31",19
"ARF5",2.69,2.38,0.31,"ARF5",20
"DPY30",3.84,3.53,0.31,"DPY30",21
"RNF187",3.01,2.71,0.3,"RNF187",22
"TSPAN5",2.73,2.44,0.29,"TSPAN5",23
"ARL6IP1",4.82,4.54,0.28,"ARL6IP1",24
"COMMD7",3.67,3.39,0.28,"COMMD7",25
"GTF3C6",4,3.73,0.27,"GTF3C6",26
"ARL6IP6",3.08,2.82,0.26,"ARL6IP6",27
"MAN1B1",1.91,1.65,0.26,"MAN1B1",28
"BDH2",1.94,1.68,0.26,"BDH2",29
"HNRNPA3",5.33,5.07,0.26,"HNRNPA3",30
"HNRNPK",5.77,5.51,0.26,"HNRNPK",31
"PPP1R7",3.8,3.54,0.26,"PPP1R7",32
"PHLDA1",4.94,4.69,0.25,"PHLDA1",33
"PDLIM4",0.38,0.13,0.25,"PDLIM4",34
"PUF60",3.75,3.51,0.24,"PUF60",35
"LCK",5.83,5.59,0.24,"LCK",36
"GSKIP",1.94,1.7,0.24,"GSKIP",37
"PDHB",3.4,3.17,0.23,"PDHB",38
"PMM1",2.15,1.92,0.23,"PMM1",39
"FANCL",1.33,1.1,0.23,"FANCL",40
"EXOSC1",3.48,3.28,0.2,"EXOSC1",41
"METTL13",1.54,1.34,0.2,"METTL13",42
"RASA1",1.29,1.09,0.2,"RASA1",43
"XRCC6",4.35,4.15,0.199999999999999,"XRCC6",44
"CEP55",0.79,0.6,0.19,"CEP55",45
"SMARCE1",3.68,3.49,0.19,"SMARCE1",46
"EID1",5.18,4.99,0.19,"EID1",47
"BUB3",4.56,4.37,0.19,"BUB3",48
"ARHGDIB",7.32,7.14,0.180000000000001,"ARHGDIB",49
"COPS8",2.75,2.57,0.18,"COPS8",50
"ABTB1",2.66,2.48,0.18,"ABTB1",51
"APOBEC3D",1.7,1.52,0.18,"APOBEC3D",52
"CDKN2A",2.38,2.2,0.18,"CDKN2A",53
"TSSC1",2.14,1.97,0.17,"TSSC1",54
"SERBP1",5.51,5.34,0.17,"SERBP1",55
"SLC35C2",2.36,2.19,0.17,"SLC35C2",56
"MBIP",2.09,1.92,0.17,"MBIP",57
"PGAM1",4.83,4.66,0.17,"PGAM1",58
"TAB2",2.19,2.03,0.16,"TAB2",59
"CFAP20",3.07,2.91,0.16,"CFAP20",60
"HSPA4",2.72,2.57,0.15,"HSPA4",61
"AHSA1",3.6,3.45,0.15,"AHSA1",62
"PMF1",3.67,3.52,0.15,"PMF1",63
"LCMT1",2.56,2.41,0.15,"LCMT1",64
"NDFIP2",2.77,2.62,0.15,"NDFIP2",65
"XRCC5",4.66,4.52,0.140000000000001,"XRCC5",66
"DYNLRB1",4.45,4.31,0.140000000000001,"DYNLRB1",67
"DEDD2",3.56,3.42,0.14,"DEDD2",68
"VPS25",2.79,2.65,0.14,"VPS25",69
"CCDC171",0.65,0.51,0.14,"CCDC171",70
"KLHL22",1.05,0.91,0.14,"KLHL22",71
"NAB2",1.15,1.01,0.14,"NAB2",72
"TAF1B",2.05,1.91,0.14,"TAF1B",73
"FRMD4B",2.91,2.78,0.13,"FRMD4B",74
"ACAT2",2.49,2.36,0.13,"ACAT2",75
"FUBP1",3.49,3.36,0.13,"FUBP1",76
"TMEM183A",2.66,2.53,0.13,"TMEM183A",77
"MOB4",3.31,3.18,0.13,"MOB4",78
"RANBP1",4.25,4.12,0.13,"RANBP1",79
"UQCRC2",3.96,3.83,0.13,"UQCRC2",80
"SH2D2A",4.17,4.04,0.13,"SH2D2A",81
"LPXN",3.87,3.75,0.12,"LPXN",82
"SLC25A16",0.92,0.8,0.12,"SLC25A16",83
"ADAL",1.2,1.08,0.12,"ADAL",84
"TRIM21",1.45,1.33,0.12,"TRIM21",85
"TIGIT",5.2,5.09,0.11,"TIGIT",86
"MR1",2.41,2.3,0.11,"MR1",87
"MAP3K5",1.54,1.43,0.11,"MAP3K5",88
"RFX7",1.09,0.98,0.11,"RFX7",89
"KCTD17",1.09,0.98,0.11,"KCTD17",90
"APBA3",1.72,1.61,0.11,"APBA3",91
"DUSP4",5.61,5.51,0.100000000000001,"DUSP4",92
"FDFT1",3.13,3.03,0.1,"FDFT1",93
"PLRG1",2.37,2.27,0.1,"PLRG1",94
"TRAK2",1.25,1.15,0.1,"TRAK2",95
"STAT5A",2.22,2.12,0.1,"STAT5A",96
"ACTG2",0.18,0.08,0.1,"ACTG2",97
"SCAND1",4.48,4.39,0.0900000000000007,"SCAND1",98
"PTPRJ",1.97,1.88,0.0900000000000001,"PTPRJ",99
"VPS33A",1.85,1.76,0.0900000000000001,"VPS33A",100
"GSTCD",0.65,0.56,0.09,"GSTCD",101
"NUBP2",2.82,2.73,0.0899999999999999,"NUBP2",102
"AP1S1",2.55,2.46,0.0899999999999999,"AP1S1",103
"CLEC2D",5.41,5.32,0.0899999999999999,"CLEC2D",104
"MICB",1.38,1.29,0.0899999999999999,"MICB",105
"ZNF207",3.84,3.75,0.0899999999999999,"ZNF207",106
"THYN1",3.17,3.09,0.0800000000000001,"THYN1",107
"IFI16",5.66,5.58,0.0800000000000001,"IFI16",108
"INPP1",1.85,1.77,0.0800000000000001,"INPP1",109
"ZC3H15",4.15,4.07,0.0800000000000001,"ZC3H15",110
"TAP1",4.08,4,0.0800000000000001,"TAP1",111
"PTPN9",1.2,1.12,0.0799999999999998,"PTPN9",112
"ABT1",3.3,3.22,0.0799999999999996,"ABT1",113
"PSMD14",3.49,3.42,0.0700000000000003,"PSMD14",114
"MED4",3.91,3.84,0.0700000000000003,"MED4",115
"COMMD10",2.37,2.3,0.0700000000000003,"COMMD10",116
"RAN",5.42,5.35,0.0700000000000003,"RAN",117
"TPR",4.71,4.64,0.0700000000000003,"TPR",118
"UBE2D2",4.78,4.71,0.0700000000000003,"UBE2D2",119
"NELFB",1.28,1.21,0.0700000000000001,"NELFB",120
