"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","cDC1 CLEC9A","cDC2 CD1C","Macrophage M1","Macrophage M2","Macrophage other","Mast","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","ACTA2","ACTA2","2.4","1.58","0.82","1","1.09","0.00","0.49","0.29","0.58","0.16","0.24","0.27","0.27","0.32","1.58","0.86","0.83","0.70","1.47","1.34","2.40","0.91","0.93","1.29","1.42","1.04","2.72"
"4","AKAP5","AKAP5","2.3","1.86","0.44","9","1.54","0.15","0.43","0.54","0.00","0.08","0.15","0.07","0.00","1.10","1.67","0.34","0.70","1.51","1.61","1.86","2.53","0.53","0.82","1.11","0.73","1.62","2.30"
"5","ARF5","ARF5","2.69","2.38","0.31","20","1.75","2.25","2.00","1.55","2.24","2.15","2.10","2.04","2.31","1.88","2.04","1.06","1.57","2.20","2.20","2.27","2.69","1.65","2.04","2.38","2.38","1.82","2.76"
"6","ARHGEF12","ARHGEF12","2.28","1.49","0.79","2","0.52","0.00","0.57","1.01","1.19","0.38","0.61","0.64","0.00","1.49","1.07","0.86","0.24","0.96","1.03","1.06","2.28","0.48","0.85","1.33","1.30","1.15","2.30"
"7","ARL6IP1","ARL6IP1","4.82","4.54","0.28","24","3.86","3.74","3.89","3.86","4.00","4.25","4.46","4.49","3.32","4.53","4.20","3.60","3.76","4.43","4.46","4.54","4.90","3.97","4.44","4.40","4.54","4.53","4.82"
"8","CALM3","CALM3","5.24","4.81","0.430000000000001","10","3.31","3.91","3.13","3.15","4.81","4.03","4.31","4.69","3.93","4.72","3.81","4.06","3.72","4.14","4.30","4.50","5.24","3.94","4.60","4.49","4.43","4.57","5.25"
"9","CD70","CD70","3.12","2.67","0.45","8","2.02","1.04","2.46","2.56","2.67","0.18","0.13","0.13","0.55","0.49","1.22","1.90","0.34","0.62","1.82","2.64","3.12","2.26","1.56","2.35","2.36","1.36","3.79"
"10","COMMD7","COMMD7","3.67","3.39","0.28","25","2.63","1.89","1.74","2.23","2.73","3.10","2.91","2.67","2.21","3.16","3.26","2.38","2.60","2.91","3.39","3.17","3.86","2.94","2.97","3.00","3.11","3.02","3.67"
"11","CTLA4","CTLA4","2.54","3.56","-1.02","8284","0.12","0.32","0.00","0.18","0.00","0.00","0.04","0.07","0.00","0.00","0.02","0.24","1.51","1.06","0.89","1.94","2.54","0.00","2.48","2.25","2.74","3.56","4.49"
"12","CXCR6","CXCR6","4.63","4.2","0.43","12","0.23","0.58","0.23","0.39","0.24","0.09","0.01","0.03","0.00","0.00","0.86","0.28","0.81","3.49","2.88","3.77","4.83","2.53","1.48","4.09","4.20","2.78","4.63"
"13","DHX57","DHX57","1.52","1.16","0.36","15","0.29","0.80","0.52","0.00","0.00","0.90","0.72","0.90","0.00","0.62","0.82","0.58","0.54","0.78","0.83","0.88","1.52","0.00","0.71","1.16","0.91","1.08","1.64"
"14","DPY30","DPY30","3.84","3.53","0.31","21","2.89","3.40","3.28","3.17","2.93","3.11","3.11","3.17","2.87","3.53","3.30","3.48","3.15","3.52","3.39","3.48","3.84","3.42","3.36","3.37","3.48","3.53","3.95"
"15","FDXR","FDXR","1.62","1.25","0.37","14","0.66","0.50","0.53","0.94","0.36","0.31","0.47","0.36","0.35","1.07","0.32","1.04","0.56","0.57","1.25","1.14","1.62","0.00","0.99","1.13","1.11","0.91","1.93"
"16","GCNT1","GCNT1","1.71","1.21","0.5","6","0.71","0.85","0.00","0.00","1.00","1.12","0.76","0.66","0.75","1.21","0.98","0.05","0.14","0.81","0.77","1.13","1.71","0.97","0.95","1.07","1.02","0.80","2.14"
"17","KIF20B","KIF20B","3.08","2.76","0.32","18","1.11","1.95","2.76","2.09","0.87","1.34","1.02","1.01","0.49","2.07","1.59","1.62","1.40","2.12","1.92","2.26","3.36","1.71","1.78","2.54","2.53","2.75","3.08"
"18","NUDT5","NUDT5","3.73","3.39","0.34","16","2.36","2.64","2.98","2.13","2.83","2.93","2.50","2.28","1.55","2.67","3.39","3.21","2.45","2.98","2.88","3.07","3.77","3.04","2.80","3.02","3.16","2.74","3.73"
"19","PARK7","PARK7","5.78","5.46","0.32","17","4.78","4.99","4.57","4.27","5.08","5.34","4.87","4.61","4.30","5.03","5.33","5.45","4.39","5.21","5.21","5.13","5.93","5.46","5.09","5.14","5.06","5.13","5.78"
