"","min_2","max_other","target_score","gene","rank"
"TNFRSF9",5.22,4.12,1.1,"TNFRSF9",1
"IKZF4",1.76,1.27,0.49,"IKZF4",2
"DUSP4",4.5,4.19,0.31,"DUSP4",3
"SIRPG",5.11,4.81,0.300000000000001,"SIRPG",4
"TRAF2",2.47,2.18,0.29,"TRAF2",5
"ENTPD1",4.32,4.03,0.29,"ENTPD1",6
"PIN1",4.15,3.88,0.27,"PIN1",7
"ZBED6CL",0.81,0.58,0.23,"ZBED6CL",8
"AMIGO2",1.43,1.21,0.22,"AMIGO2",9
"GAPDH",8.58,8.38,0.199999999999999,"GAPDH",10
"JAKMIP1",2.7,2.51,0.19,"JAKMIP1",11
"ATP6V0E2",3.77,3.6,0.17,"ATP6V0E2",12
"FDXR",1.68,1.51,0.17,"FDXR",13
"PARK7",6.01,5.85,0.16,"PARK7",14
"THYN1",3.88,3.73,0.15,"THYN1",15
"TP73",0.37,0.24,0.13,"TP73",16
"CTSC",6.29,6.16,0.13,"CTSC",17
"ARPP19",4.31,4.18,0.13,"ARPP19",18
"PAM",4.02,3.89,0.129999999999999,"PAM",19
"CORO1A",7.07,6.96,0.11,"CORO1A",20
"SAE1",3.45,3.37,0.0800000000000001,"SAE1",21
"RNF187",1.76,1.68,0.0800000000000001,"RNF187",22
"TMX1",3.4,3.32,0.0800000000000001,"TMX1",23
"GPI",4.24,4.18,0.0600000000000005,"GPI",24
"CASP1",4.46,4.4,0.0599999999999996,"CASP1",25
"BTNL8",0.39,0.34,0.05,"BTNL8",26
"EID1",4.72,4.67,0.0499999999999998,"EID1",27
"CCDC136",0.54,0.5,0.04,"CCDC136",28
"ZNF528",1.81,1.77,0.04,"ZNF528",29
"TET1",0.38,0.35,0.03,"TET1",30
"PTPN7",5.45,5.43,0.0200000000000005,"PTPN7",31
"RASGRP1",2.91,2.89,0.02,"RASGRP1",32
"ERCC2",1.66,1.64,0.02,"ERCC2",33
"SKA2",2.94,2.92,0.02,"SKA2",34
"HERC6",2.38,2.36,0.02,"HERC6",35
"BTG3",4.57,4.56,0.0100000000000007,"BTG3",36
"TMEM169",0.19,0.18,0.01,"TMEM169",37
"LY6E",5.7,5.69,0.00999999999999979,"LY6E",38
"NAT2",0,0,0,"NAT2",39
"CTAGE4",0.04,0.04,0,"CTAGE4",40
"PRDX3",4.51,4.51,0,"PRDX3",41
"ACOT2",2.03,2.03,0,"ACOT2",42
"GJB4",0,0,0,"GJB4",43
"LRRC15",0,0,0,"LRRC15",44
"HTR3E",0,0,0,"HTR3E",45
"HADHA",3.72,3.72,0,"HADHA",46
"HOXD10",0,0,0,"HOXD10",47
"FIBIN",0,0,0,"FIBIN",48
"PCDH18",0,0,0,"PCDH18",49
"RAC2",6.85,6.85,0,"RAC2",50
"PDIA2",0,0,0,"PDIA2",51
"RAD51AP2",0,0,0,"RAD51AP2",52
"NR0B2",0,0,0,"NR0B2",53
"ZC3H12C",0.43,0.43,0,"ZC3H12C",54
"HS6ST2",0,0,0,"HS6ST2",55
"RHBDL1",0.02,0.02,0,"RHBDL1",56
"ISX",0,0,0,"ISX",57
"GPRIN2",0,0,0,"GPRIN2",58
"TAP1",4.92,4.93,-0.00999999999999979,"TAP1",59
"SLITRK5",0.02,0.03,-0.01,"SLITRK5",60
"ZNF705B",0,0.01,-0.01,"ZNF705B",61
"DLX5",0,0.01,-0.01,"DLX5",62
"KRT24",0,0.01,-0.01,"KRT24",63
"CDCP2",0,0.01,-0.01,"CDCP2",64
"FGF10",0,0.01,-0.01,"FGF10",65
"CLCA4",0,0.01,-0.01,"CLCA4",66
"FOLR1",0,0.01,-0.01,"FOLR1",67
"RASD2",0.01,0.02,-0.01,"RASD2",68
"ALPI",0,0.01,-0.01,"ALPI",69
"ALPPL2",0,0.01,-0.01,"ALPPL2",70
"HOXA11",0,0.01,-0.01,"HOXA11",71
"HOXA13",0,0.01,-0.01,"HOXA13",72
"HOXB9",0,0.01,-0.01,"HOXB9",73
"APOBEC1",0,0.01,-0.01,"APOBEC1",74
"OTOP3",0,0.01,-0.01,"OTOP3",75
"AQP5",0,0.01,-0.01,"AQP5",76
"KRT6B",0.01,0.02,-0.01,"KRT6B",77
"HRNR",0,0.01,-0.01,"HRNR",78
"DUOXA2",0,0.01,-0.01,"DUOXA2",79
"PAPOLB",0,0.01,-0.01,"PAPOLB",80
"DAZ4",0,0.01,-0.01,"DAZ4",81
"SLC9A2",0,0.01,-0.01,"SLC9A2",82
"DEFA1B",0,0.01,-0.01,"DEFA1B",83
"ZNF705D",0,0.01,-0.01,"ZNF705D",84
"WNT2",0,0.01,-0.01,"WNT2",85
"CAPN6",0,0.01,-0.01,"CAPN6",86
"RETNLB",0,0.01,-0.01,"RETNLB",87
"SYTL5",0,0.01,-0.01,"SYTL5",88
"FOXQ1",0,0.01,-0.01,"FOXQ1",89
"FGFBP1",0,0.01,-0.01,"FGFBP1",90
"RANBP1",4.6,4.61,-0.0100000000000007,"RANBP1",91
"ARL6IP1",4.98,5,-0.0199999999999996,"ARL6IP1",92
"CLEC2D",6.73,6.75,-0.0199999999999996,"CLEC2D",93
"DEPDC4",0.39,0.41,-0.02,"DEPDC4",94
"NTS",0.01,0.03,-0.02,"NTS",95
"CAPN9",0,0.02,-0.02,"CAPN9",96
"KIF12",0,0.02,-0.02,"KIF12",97
"C1QTNF4",0,0.02,-0.02,"C1QTNF4",98
"TRIM40",0,0.02,-0.02,"TRIM40",99
"CRYBA2",0,0.02,-0.02,"CRYBA2",100
"OR51E1",0,0.02,-0.02,"OR51E1",101
"RNF151",0,0.02,-0.02,"RNF151",102
"DSG4",0,0.02,-0.02,"DSG4",103
"AGT",0,0.02,-0.02,"AGT",104
"CT83",0,0.02,-0.02,"CT83",105
"FOXL1",0,0.02,-0.02,"FOXL1",106
"RIMBP2",0,0.02,-0.02,"RIMBP2",107
"PCSK9",0,0.02,-0.02,"PCSK9",108
"GP9",0,0.02,-0.02,"GP9",109
"GRIN2D",0,0.02,-0.02,"GRIN2D",110
"GSTM5",0,0.02,-0.02,"GSTM5",111
"MNX1",0,0.02,-0.02,"MNX1",112
"FREM2",0,0.02,-0.02,"FREM2",113
"SLC10A5",0,0.02,-0.02,"SLC10A5",114
"TBX10",0,0.02,-0.02,"TBX10",115
"PDX1",0,0.02,-0.02,"PDX1",116
"KCNJ8",0,0.02,-0.02,"KCNJ8",117
"OTX1",0,0.02,-0.02,"OTX1",118
"SHC3",0,0.02,-0.02,"SHC3",119
"RNF186",0,0.02,-0.02,"RNF186",120
"SLC7A2",0,0.02,-0.02,"SLC7A2",121
"TBX2",0,0.02,-0.02,"TBX2",122
"LRRC31",0,0.02,-0.02,"LRRC31",123
"HIST1H4L",0,0.02,-0.02,"HIST1H4L",124
"OTOP2",0,0.02,-0.02,"OTOP2",125
"ENTPD2",0,0.02,-0.02,"ENTPD2",126
"PHYHIP",0,0.02,-0.02,"PHYHIP",127
"PLCH1",0.03,0.05,-0.02,"PLCH1",128
"OXGR1",0.03,0.05,-0.02,"OXGR1",129
"EIF2B1",2.94,2.96,-0.02,"EIF2B1",130
"ZNF79",0.69,0.71,-0.02,"ZNF79",131
"PSMB8",6.07,6.1,-0.0299999999999994,"PSMB8",132
"MRGPRF",0,0.03,-0.03,"MRGPRF",133
"AADAC",0,0.03,-0.03,"AADAC",134
"OSR1",0.01,0.04,-0.03,"OSR1",135
"EPHA3",0.01,0.04,-0.03,"EPHA3",136
"EPHA7",0,0.03,-0.03,"EPHA7",137
"FOXS1",0,0.03,-0.03,"FOXS1",138
"HSPB7",0,0.03,-0.03,"HSPB7",139
"SCARA5",0,0.03,-0.03,"SCARA5",140
"GPR39",0,0.03,-0.03,"GPR39",141
"FOXA2",0,0.03,-0.03,"FOXA2",142
"HOXC13",0,0.03,-0.03,"HOXC13",143
"ISLR",0,0.03,-0.03,"ISLR",144
"KRT12",0,0.03,-0.03,"KRT12",145
"TMIGD1",0,0.03,-0.03,"TMIGD1",146
"TSPAN11",0,0.03,-0.03,"TSPAN11",147
"MS4A12",0,0.03,-0.03,"MS4A12",148
"SALL1",0,0.03,-0.03,"SALL1",149
"ABCG8",0,0.03,-0.03,"ABCG8",150
"SOX2",0,0.03,-0.03,"SOX2",151
"SSTR1",0,0.03,-0.03,"SSTR1",152
"TAC3",0,0.03,-0.03,"TAC3",153
"CCDC175",0,0.03,-0.03,"CCDC175",154
"CDH10",0.02,0.05,-0.03,"CDH10",155
"SLITRK2",0.04,0.07,-0.03,"SLITRK2",156
"CLIC1",7.17,7.2,-0.0300000000000002,"CLIC1",157
"CCDC28A",3.19,3.22,-0.0300000000000002,"CCDC28A",158
"MAT2B",4.66,4.69,-0.0300000000000002,"MAT2B",159
"LASP1",3.15,3.18,-0.0300000000000002,"LASP1",160
"SLC9C2",0.02,0.06,-0.04,"SLC9C2",161
"FOXD4L5",0.05,0.09,-0.04,"FOXD4L5",162
"LINC00675",0,0.04,-0.04,"LINC00675",163
"TRIM10",0,0.04,-0.04,"TRIM10",164
"SCGN",0.01,0.05,-0.04,"SCGN",165
"NXPE2",0,0.04,-0.04,"NXPE2",166
"RNF183",0,0.04,-0.04,"RNF183",167
"TDRD5",0,0.04,-0.04,"TDRD5",168
"DES",0,0.04,-0.04,"DES",169
"EPHA5",0.01,0.05,-0.04,"EPHA5",170
"AMER2",0.04,0.08,-0.04,"AMER2",171
"GFRA1",0,0.04,-0.04,"GFRA1",172
"GSTA1",0,0.04,-0.04,"GSTA1",173
"SLC6A19",0,0.04,-0.04,"SLC6A19",174
"HCN1",0.01,0.05,-0.04,"HCN1",175
"CNTN3",0,0.04,-0.04,"CNTN3",176
"YBX2",0,0.04,-0.04,"YBX2",177
"SERPINB13",0.01,0.05,-0.04,"SERPINB13",178
"PYY",0,0.04,-0.04,"PYY",179
"VANGL2",0,0.04,-0.04,"VANGL2",180
"RAP1GAP",0,0.04,-0.04,"RAP1GAP",181
"CCL11",0,0.04,-0.04,"CCL11",182
"PPP1R14C",0.01,0.05,-0.04,"PPP1R14C",183
"MS4A8",0,0.04,-0.04,"MS4A8",184
"DIRAS3",0,0.04,-0.04,"DIRAS3",185
"NTN1",0,0.04,-0.04,"NTN1",186
"ATP1B4",0.03,0.07,-0.04,"ATP1B4",187
"LZTS3",0.03,0.07,-0.04,"LZTS3",188
"CD2BP2",3.52,3.56,-0.04,"CD2BP2",189
"SLC25A17",2.05,2.09,-0.04,"SLC25A17",190
"KIF20B",3.03,3.07,-0.04,"KIF20B",191
"ACTG1",8.26,8.3,-0.0400000000000009,"ACTG1",192
"PIGN",2.33,2.38,-0.0499999999999998,"PIGN",193
"CRB1",0.01,0.06,-0.05,"CRB1",194
"SYT13",0.01,0.06,-0.05,"SYT13",195
"SIM1",0.01,0.06,-0.05,"SIM1",196
"GPC6",0,0.05,-0.05,"GPC6",197
"OLFM4",0,0.05,-0.05,"OLFM4",198
"TMEM74",0,0.05,-0.05,"TMEM74",199
"ADAMTS15",0,0.05,-0.05,"ADAMTS15",200
"EDNRA",0,0.05,-0.05,"EDNRA",201
"FMO1",0,0.05,-0.05,"FMO1",202
"HABP2",0,0.05,-0.05,"HABP2",203
"VWA2",0,0.05,-0.05,"VWA2",204
"FLJ22763",0,0.05,-0.05,"FLJ22763",205
"KLHL31",0,0.05,-0.05,"KLHL31",206
"EPB41L4B",0.02,0.07,-0.05,"EPB41L4B",207
"PRKAA2",0,0.05,-0.05,"PRKAA2",208
"PTN",0,0.05,-0.05,"PTN",209
"TAC1",0,0.05,-0.05,"TAC1",210
"CACNA1S",0,0.05,-0.05,"CACNA1S",211
"CILP",0,0.05,-0.05,"CILP",212
"SYT7",0,0.05,-0.05,"SYT7",213
"MYOCD",0,0.05,-0.05,"MYOCD",214
"ACOT1",0.73,0.78,-0.05,"ACOT1",215
"TRAPPC1",3.84,3.89,-0.0500000000000003,"TRAPPC1",216
"MYO1G",3.63,3.68,-0.0500000000000003,"MYO1G",217
"PHLDA1",3.47,3.53,-0.0599999999999996,"PHLDA1",218
"F7",0,0.06,-0.06,"F7",219
"FAM181B",0.03,0.09,-0.06,"FAM181B",220
"GPC4",0,0.06,-0.06,"GPC4",221
"GLI2",0,0.06,-0.06,"GLI2",222
"GUCY1A2",0,0.06,-0.06,"GUCY1A2",223
"KCNJ6",0.14,0.2,-0.06,"KCNJ6",224
"DACT1",0,0.06,-0.06,"DACT1",225
"BCO1",0.02,0.08,-0.06,"BCO1",226
"CNTN5",0,0.06,-0.06,"CNTN5",227
"CKMT1A",0,0.06,-0.06,"CKMT1A",228
"CDC42BPG",0,0.06,-0.06,"CDC42BPG",229
"PCDHB15",0,0.06,-0.06,"PCDHB15",230
"PSG9",0,0.06,-0.06,"PSG9",231
"TBX20",0.1,0.16,-0.06,"TBX20",232
"IL22RA1",0,0.06,-0.06,"IL22RA1",233
"TMEM253",0,0.06,-0.06,"TMEM253",234
"SLC22A3",0.03,0.09,-0.06,"SLC22A3",235
"BTC",0,0.06,-0.06,"BTC",236
"MUC5B",0,0.06,-0.06,"MUC5B",237
"MOGAT2",0,0.06,-0.06,"MOGAT2",238
"FAXC",0.03,0.09,-0.06,"FAXC",239
"FEZF1",0.01,0.07,-0.06,"FEZF1",240
"TENM3",0.01,0.07,-0.06,"TENM3",241
"HR",0.01,0.07,-0.06,"HR",242
"DUOXA1",0.01,0.07,-0.06,"DUOXA1",243
"NR1H4",0.01,0.07,-0.06,"NR1H4",244
"MUT",1.31,1.37,-0.0600000000000001,"MUT",245
"TSPAN14",3.89,3.95,-0.0600000000000001,"TSPAN14",246
"CD7",3.95,4.02,-0.0699999999999994,"CD7",247
"IL21R",3.54,3.61,-0.0699999999999998,"IL21R",248
"LONRF2",0.02,0.09,-0.07,"LONRF2",249
"SVEP1",0.02,0.09,-0.07,"SVEP1",250
"B3GALT5",0.01,0.08,-0.07,"B3GALT5",251
"FST",0.04,0.11,-0.07,"FST",252
"SPATA18",0,0.07,-0.07,"SPATA18",253
"LRRN4CL",0.04,0.11,-0.07,"LRRN4CL",254
"DZIP1",0.01,0.08,-0.07,"DZIP1",255
"SYT14",0.16,0.23,-0.07,"SYT14",256
"GJB3",0,0.07,-0.07,"GJB3",257
"NWD1",0.04,0.11,-0.07,"NWD1",258
"FAM83H",0,0.07,-0.07,"FAM83H",259
"GRIN2A",0.01,0.08,-0.07,"GRIN2A",260
"GRIN2B",0.01,0.08,-0.07,"GRIN2B",261
"CHSY3",0.01,0.08,-0.07,"CHSY3",262
"IBSP",0,0.07,-0.07,"IBSP",263
"NLRP10",0,0.07,-0.07,"NLRP10",264
"ONECUT3",0.03,0.1,-0.07,"ONECUT3",265
"ZNF716",0.04,0.11,-0.07,"ZNF716",266
"POTEE",0,0.07,-0.07,"POTEE",267
"PRELP",0.07,0.14,-0.07,"PRELP",268
"TCEAL7",0,0.07,-0.07,"TCEAL7",269
"KCTD16",0.01,0.08,-0.07,"KCTD16",270
"LY6G6D",0,0.07,-0.07,"LY6G6D",271
"EDA2R",0.15,0.22,-0.07,"EDA2R",272
"SI",0,0.07,-0.07,"SI",273
"SOX9",0,0.07,-0.07,"SOX9",274
"NR2F1",0,0.07,-0.07,"NR2F1",275
"COX4I2",0,0.07,-0.07,"COX4I2",276
"HSPB3",0,0.07,-0.07,"HSPB3",277
"FHL5",0,0.07,-0.07,"FHL5",278
"PLCL1",0.6,0.67,-0.0700000000000001,"PLCL1",279
"IQGAP1",4.75,4.82,-0.0700000000000003,"IQGAP1",280
"UBE2L6",5.33,5.4,-0.0700000000000003,"UBE2L6",281
"TRAPPC6B",2.24,2.32,-0.0799999999999996,"TRAPPC6B",282
"PTGES3L.AARSD1",0.07,0.15,-0.08,"PTGES3L.AARSD1",283
"LIN28A",0.04,0.12,-0.08,"LIN28A",284
"CHST3",0.04,0.12,-0.08,"CHST3",285
"PTPRT",0.01,0.09,-0.08,"PTPRT",286
"LYPD1",0,0.08,-0.08,"LYPD1",287
"RBBP8NL",0,0.08,-0.08,"RBBP8NL",288
"MDGA2",0,0.08,-0.08,"MDGA2",289
"RHOV",0.02,0.1,-0.08,"RHOV",290
"PLD5",0.03,0.11,-0.08,"PLD5",291
"GYS2",0.02,0.1,-0.08,"GYS2",292
"BRINP3",0,0.08,-0.08,"BRINP3",293
"VSTM5",0,0.08,-0.08,"VSTM5",294
"KPNA7",0,0.08,-0.08,"KPNA7",295
"RASL12",0,0.08,-0.08,"RASL12",296
"PITX1",0.05,0.13,-0.08,"PITX1",297
"PPP1R3C",0,0.08,-0.08,"PPP1R3C",298
"ROBO2",0.03,0.11,-0.08,"ROBO2",299
"SFRP2",0,0.08,-0.08,"SFRP2",300
"CCDC168",0.01,0.09,-0.08,"CCDC168",301
"SH2D7",0,0.08,-0.08,"SH2D7",302
"SIX1",0.01,0.09,-0.08,"SIX1",303
"TBX15",0,0.08,-0.08,"TBX15",304
"TFAP2C",0.01,0.09,-0.08,"TFAP2C",305
"TRPC4",0.01,0.09,-0.08,"TRPC4",306
"ZNF99",0.03,0.11,-0.08,"ZNF99",307
"CACNA1I",0,0.08,-0.08,"CACNA1I",308
"KCNQ4",0,0.08,-0.08,"KCNQ4",309
"CHRDL1",0.03,0.11,-0.08,"CHRDL1",310
"CA5A",0.18,0.26,-0.08,"CA5A",311
"SFT2D3",0.32,0.4,-0.08,"SFT2D3",312
"PDAP1",2.31,2.39,-0.0800000000000001,"PDAP1",313
"IL2RG",7.52,7.6,-0.0800000000000001,"IL2RG",314
"TM7SF3",3,3.08,-0.0800000000000001,"TM7SF3",315
"RBPJ",5.75,5.84,-0.0899999999999999,"RBPJ",316
"TBC1D10C",4.73,4.82,-0.0899999999999999,"TBC1D10C",317
"PTPRA",2.77,2.86,-0.0899999999999999,"PTPRA",318
"LRRCC1",0.9,0.99,-0.09,"LRRCC1",319
"XKR4",0.02,0.11,-0.09,"XKR4",320
"EFNB3",0,0.09,-0.09,"EFNB3",321
"SDK1",0,0.09,-0.09,"SDK1",322
"FLRT3",0,0.09,-0.09,"FLRT3",323
"KCNIP3",0,0.09,-0.09,"KCNIP3",324
"IHH",0,0.09,-0.09,"IHH",325
"ITIH2",0,0.09,-0.09,"ITIH2",326
"ILDR2",0.07,0.16,-0.09,"ILDR2",327
"LRRC26",0,0.09,-0.09,"LRRC26",328
"NGF",0,0.09,-0.09,"NGF",329
"CAMSAP3",0,0.09,-0.09,"CAMSAP3",330
"TCF21",0.02,0.11,-0.09,"TCF21",331
"TFF1",0,0.09,-0.09,"TFF1",332
"SCG2",0,0.09,-0.09,"SCG2",333
"UGT2A3",0,0.09,-0.09,"UGT2A3",334
"ADAM33",0.04,0.13,-0.09,"ADAM33",335
"SRCIN1",0.1,0.19,-0.09,"SRCIN1",336
"HHIPL1",0.06,0.15,-0.09,"HHIPL1",337
"MYO18B",0.02,0.11,-0.09,"MYO18B",338
"KBTBD12",0.01,0.1,-0.09,"KBTBD12",339
"GLRA2",0.01,0.1,-0.09,"GLRA2",340
"TRPM1",0.01,0.1,-0.09,"TRPM1",341
"MPP2",0.01,0.1,-0.09,"MPP2",342
"ADAMTS12",0.01,0.1,-0.09,"ADAMTS12",343
"FAM53B",1.22,1.31,-0.0900000000000001,"FAM53B",344
"ETNK1",4.16,4.26,-0.0999999999999996,"ETNK1",345
"CRX",0.14,0.24,-0.1,"CRX",346
"ANKS4B",0.05,0.15,-0.1,"ANKS4B",347
"PCDHB11",0.05,0.15,-0.1,"PCDHB11",348
"AGBL4",0.02,0.12,-0.1,"AGBL4",349
"CDR1",0,0.1,-0.1,"CDR1",350
"SLCO1B1",0,0.1,-0.1,"SLCO1B1",351
"FUT9",0.01,0.11,-0.1,"FUT9",352
"USP43",0.01,0.11,-0.1,"USP43",353
"LSM11",0.12,0.22,-0.1,"LSM11",354
"CST1",0,0.1,-0.1,"CST1",355
"AKR7A3",0.01,0.11,-0.1,"AKR7A3",356
"CBLC",0,0.1,-0.1,"CBLC",357
"TINAG",0,0.1,-0.1,"TINAG",358
"GNGT1",0,0.1,-0.1,"GNGT1",359
"GPR20",0,0.1,-0.1,"GPR20",360
"PCDHB1",0.06,0.16,-0.1,"PCDHB1",361
"RAB23",0.04,0.14,-0.1,"RAB23",362
"RIPK4",0.01,0.11,-0.1,"RIPK4",363
"WNT4",0.01,0.11,-0.1,"WNT4",364
"UGT1A10",0.04,0.14,-0.1,"UGT1A10",365
"PPP2R2C",0.04,0.14,-0.1,"PPP2R2C",366
"BMP5",0,0.1,-0.1,"BMP5",367
"CSRNP3",0.01,0.11,-0.1,"CSRNP3",368
"RNF39",0,0.1,-0.1,"RNF39",369
"LHX4",0.04,0.14,-0.1,"LHX4",370
"HAP1",0.04,0.14,-0.1,"HAP1",371
"ONECUT2",0,0.1,-0.1,"ONECUT2",372
"ZNF74",0.41,0.51,-0.1,"ZNF74",373
"COPS6",4.45,4.56,-0.109999999999999,"COPS6",374
"CMAS",2.77,2.88,-0.11,"CMAS",375
"CHRM5",0.1,0.21,-0.11,"CHRM5",376
"SLC29A4",0.04,0.15,-0.11,"SLC29A4",377
"CA3",0.07,0.18,-0.11,"CA3",378
"ZNF436",0.61,0.72,-0.11,"ZNF436",379
"GAN",0.75,0.86,-0.11,"GAN",380
"LRRN2",0.02,0.13,-0.11,"LRRN2",381
