"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","CAF","cDC1 CLEC9A","cDC2 CD1C","Endothelial","Macrophage M1","Macrophage M2","Macrophage other","Mast","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","AMIGO2","AMIGO2","1.43","1.21","0.22","9","0.00","0.84","0.01","0.03","1.11","0.19","0.27","0.63","0.01","0.32","0.13","0.30","0.89","0.90","0.34","1.10","0.91","1.00","1.56","0.00","0.69","1.21","0.00","0.12","1.43"
"4","ARPP19","ARPP19","4.31","4.18","0.13","18","2.47","2.77","3.48","3.99","2.92","3.56","3.41","1.93","2.50","2.61","0.94","2.90","4.18","4.10","4.06","3.67","3.45","3.94","4.31","2.11","3.30","3.89","3.58","2.78","4.50"
"5","ATP6V0E2","ATP6V0E2","3.77","3.6","0.17","12","0.04","3.34","0.22","2.09","1.42","1.53","1.66","0.52","1.36","1.33","1.07","1.08","3.13","0.39","3.30","3.60","3.18","3.13","4.04","0.00","3.57","3.56","3.19","3.01","3.77"
"6","BTNL8","BTNL8","0.39","0.34","0.05","26","0.00","0.24","0.22","0.00","0.01","0.23","0.02","0.25","0.21","0.33","0.23","0.23","0.11","0.05","0.09","0.01","0.29","0.31","0.39","0.00","0.00","0.34","0.14","0.34","0.56"
"7","CASP1","CASP1","4.46","4.4","0.0599999999999996","25","3.81","2.68","2.95","2.56","1.81","4.03","4.09","3.50","4.14","4.23","4.13","2.63","4.29","4.18","3.44","3.77","4.40","4.36","4.46","3.90","3.51","4.25","4.29","4.07","5.14"
"8","CCDC136","CCDC136","0.54","0.5","0.04","28","0.40","0.00","0.00","0.02","0.05","0.00","0.06","0.06","0.03","0.07","0.22","0.11","0.50","0.00","0.10","0.43","0.05","0.46","0.54","0.00","0.21","0.33","0.01","0.02","0.94"
"9","CORO1A","CORO1A","7.07","6.96","0.11","20","6.37","6.20","5.87","6.34","0.21","6.06","5.90","1.26","4.43","4.44","4.78","4.09","6.88","4.12","6.26","6.53","6.62","6.82","7.28","6.37","6.96","6.80","6.83","6.64","7.07"
"10","CTLA4","CTLA4","5.31","5.9","-0.590000000000001","2452","0.00","0.40","1.98","0.20","0.04","0.53","2.01","0.01","0.01","0.38","0.25","0.02","3.40","0.49","5.47","2.89","2.04","3.69","5.31","5.90","4.50","5.15","4.57","4.70","6.79"
"11","CTSC","CTSC","6.29","6.16","0.13","17","4.45","4.34","4.36","3.30","5.94","5.08","5.82","4.38","6.16","7.21","5.39","4.82","6.10","4.61","4.04","4.80","5.89","5.67","6.29","0.83","4.69","5.77","5.45","4.45","7.34"
"12","DUSP4","DUSP4","4.5","4.19","0.31","3","3.33","0.56","1.23","2.10","0.37","2.86","1.73","0.67","2.31","0.65","0.76","0.77","3.30","0.82","2.46","3.67","2.91","3.98","4.50","0.09","2.83","4.19","3.45","3.71","5.00"
"13","EID1","EID1","4.72","4.67","0.0499999999999998","27","1.39","2.79","3.78","3.85","5.53","4.10","3.73","4.59","3.54","3.83","3.30","4.16","4.22","3.83","4.00","4.17","4.64","4.49","4.72","3.98","4.63","4.67","4.57","3.84","4.80"
"14","ENTPD1","ENTPD1","4.32","4.03","0.29","6","3.57","2.06","3.39","3.05","3.36","3.93","3.95","4.03","2.61","2.90","2.32","0.78","3.50","3.26","2.64","2.97","3.60","2.92","4.32","2.83","2.14","1.66","3.35","2.37","4.69"
"15","FDXR","FDXR","1.68","1.51","0.17","13","0.01","0.00","0.03","0.34","0.95","0.23","0.44","0.19","0.54","0.96","0.31","1.51","1.23","0.09","0.01","0.25","1.23","1.14","1.68","0.00","0.00","1.22","1.10","1.11","1.74"
"16","GAPDH","GAPDH","8.58","8.38","0.199999999999999","10","7.20","5.82","6.69","7.06","7.98","7.84","8.12","8.07","7.89","7.57","7.43","7.43","8.30","7.37","7.28","7.71","7.86","7.89","8.58","6.30","7.81","8.23","8.38","7.78","8.59"
"17","GPI","GPI","4.24","4.18","0.0600000000000005","24","2.35","1.84","2.02","2.94","4.21","3.81","3.78","3.78","3.24","3.22","2.99","3.44","3.91","3.24","4.11","4.18","4.10","4.11","4.38","4.05","2.74","3.97","3.95","3.80","4.24"
"18","IKZF4","IKZF4","1.76","1.27","0.49","2","0.28","0.06","0.13","0.31","0.36","0.00","0.18","0.47","0.14","0.25","0.15","0.52","0.14","0.05","0.60","0.39","0.43","0.26","1.76","0.25","0.03","1.27","0.52","1.23","2.65"
"19","JAKMIP1","JAKMIP1","2.7","2.51","0.19","11","0.10","0.05","0.08","0.09","0.02","0.02","0.15","0.04","0.01","0.02","0.02","0.03","1.91","0.14","0.33","1.46","2.12","2.51","2.74","0.33","0.05","2.24","1.37","1.84","2.70"
"20","PAM","PAM","4.02","3.89","0.129999999999999","19","0.75","1.28","2.06","2.18","4.33","1.42","1.30","3.61","1.26","1.14","1.78","0.88","3.43","2.44","3.24","3.18","2.64","3.38","4.02","0.29","2.06","3.53","3.36","3.89","4.03"
"21","PARK7","PARK7","6.01","5.85","0.16","14","4.88","3.81","5.20","4.95","5.65","5.50","5.49","5.59","4.77","4.91","4.10","5.07","5.51","5.73","5.66","5.47","5.21","5.54","6.01","5.02","5.84","5.66","5.85","5.60","6.44"
"22","PDCD1","PDCD1","3.8","4.75","-0.95","4840","1.01","0.48","3.88","0.22","0.01","0.70","1.73","0.01","1.15","0.32","1.00","0.17","2.08","0.01","3.45","3.24","3.10","3.73","4.83","0.06","4.75","4.70","4.53","3.46","3.80"
"23","PIN1","PIN1","4.15","3.88","0.27","7","1.01","2.84","2.96","2.63","3.57","3.06","3.17","3.71","2.50","3.25","2.21","3.49","3.83","3.34","3.23","3.78","3.62","3.82","4.28","0.10","3.71","3.88","3.68","3.69","4.15"
"24","RNF187","RNF187","1.76","1.68","0.0800000000000001","22","0.29","0.09","0.75","1.26","1.38","0.94","1.16","1.29","1.16","1.43","1.43","1.68","1.44","1.06","0.73","1.31","1.61","1.18","1.76","0.18","0.55","1.32","1.62","1.19","2.13"
